Bank Of America Price/Book Ratio Historical Data,Bank Of America Price/Book Ratio Historical Data,Bank Of America Price/Book Ratio Historical Data,Bank Of America Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,39.99,,1.27
2020-12-31,30.16,$31.55,0.96
2020-09-30,23.82,$31.04,0.77
2020-06-30,23.32,$30.66,0.76
2020-03-31,20.71,$30.54,0.68
2019-12-31,34.13,$29.97,1.14
2019-09-30,28.11,$29.56,0.95
2019-06-30,27.77,$29.05,0.96
2019-03-31,26.28,$27.91,0.94
2018-12-31,23.35,$27.44,0.85
2018-09-30,27.76,$26.59,1.04
2018-06-30,26.43,$26.39,1.0
2018-03-31,28.0,$26.16,1.07
2017-12-31,27.46,$25.97,1.06
2017-09-30,23.47,$26.05,0.9
2017-06-30,22.36,$27.43,0.82
2017-03-31,21.67,$26.88,0.81
2016-12-31,20.24,$26.48,0.76
2016-09-30,14.28,$26.68,0.54
2016-06-30,12.06,$26.14,0.46
2016-03-31,12.24,$25.48,0.48
2015-12-31,15.18,$24.68,0.62
2015-09-30,14.01,$24.54,0.57
2015-06-30,15.26,$24.03,0.64
2015-03-31,13.76,$23.78,0.58
2014-12-31,15.94,$23.15,0.69
2014-09-30,15.15,$22.70,0.67
2014-06-30,13.62,$22.58,0.6
2014-03-31,15.23,$22.02,0.69
2013-12-31,13.78,$21.97,0.63
2013-09-30,12.2,$21.74,0.56
2013-06-30,11.36,$21.51,0.53
2013-03-31,10.75,$21.93,0.49
2012-12-31,10.24,$21.98,0.47
2012-09-30,7.78,$22.14,0.35
2012-06-30,7.2,$21.90,0.33
2012-03-31,8.41,$21.58,0.39
2011-12-31,4.88,$21.84,0.22
2011-09-30,5.36,$22.72,0.24
2011-06-30,9.59,$21.93,0.44
2011-03-31,11.66,$22.79,0.51
2010-12-31,11.66,$22.63,0.52
2010-09-30,11.44,$22.97,0.5
2010-06-30,12.54,$23.24,0.54
2010-03-31,15.56,$22.91,0.68
2009-12-31,13.12,$26.76,0.49
2009-09-30,14.73,$29.79,0.49
2009-06-30,11.49,$29.49,0.39
2009-03-31,5.93,$37.42,0.16
2008-12-31,12.21,$35.29,0.35
2008-09-30,29.71,$35.30,0.84
2008-06-30,19.88,$36.54,0.54
2008-03-31,30.95,$35.10,0.88
2007-12-31,33.12,$33.08,1.0
2007-09-30,39.79,$31.22,1.27
2007-06-30,38.21,$30.60,1.25
2007-03-31,39.44,$30.38,1.3
2006-12-31,40.82,$30.34,1.35
2006-09-30,40.54,$29.70,1.36
2006-06-30,36.01,$28.23,1.28
2006-03-31,33.74,$28.25,1.19
