Voya Financial Debt/Equity Ratio Historical Data,Voya Financial Debt/Equity Ratio Historical Data,Voya Financial Debt/Equity Ratio Historical Data,Voya Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$169.34B,$11.18B,15.15
2020-09-30,$160.82B,$10.65B,15.11
2020-06-30,$156.65B,$10.29B,15.23
2020-03-31,$147.47B,$8.27B,17.84
2019-12-31,$158.83B,$10.16B,15.63
2019-09-30,$155.64B,$11.21B,13.88
2019-06-30,$154.42B,$10.74B,14.38
2019-03-31,$152.18B,$9.81B,15.52
2018-12-31,$146.43B,$9.01B,16.26
2018-09-30,$155.84B,$9.20B,16.94
2018-06-30,$153.50B,$9.24B,16.61
2018-03-31,$209.42B,$10.41B,20.12
2017-12-31,$211.49B,$11.04B,19.16
2017-09-30,$212.03B,$14.61B,14.51
2017-06-30,$205.55B,$14.29B,14.38
2017-03-31,$203.15B,$13.88B,14.64
2016-12-31,$200.62B,$13.97B,14.36
2016-09-30,$202.47B,$16.16B,12.53
2016-06-30,$200.70B,$16.37B,12.26
2016-03-31,$198.31B,$15.70B,12.63
2015-12-31,$201.95B,$16.28B,12.41
2015-09-30,$201.46B,$17.25B,11.68
2015-06-30,$209.04B,$17.55B,11.91
2015-03-31,$210.38B,$18.67B,11.27
2014-12-31,$208.37B,$18.56B,11.23
2014-09-30,$207.16B,$17.14B,12.08
2014-06-30,$210.82B,$17.26B,12.21
2014-03-31,$207.14B,$16.37B,12.66
2013-12-31,$205.51B,$15.51B,13.25
2013-09-30,$202.79B,$14.87B,13.64
2013-06-30,$202.48B,$14.65B,13.82
2013-03-31,$205.25B,$15.60B,13.16
2012-12-31,$200.33B,$16.06B,12.47
2012-09-30,$0.00B,$0.00B,0.0
2012-06-30,$0.00B,$0.00B,0.0
2012-03-31,$0.00B,$0.00B,0.0
2011-12-31,$189.65B,$13.93B,13.62
2010-12-31,$0.00B,$0.00B,0.0
