Voya Financial ROA - Return on Assets Historical Data,Voya Financial ROA - Return on Assets Historical Data,Voya Financial ROA - Return on Assets Historical Data,Voya Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$-0.24B,$180.52B,-0.14%
2020-09-30,$-1.29B,$171.47B,-0.78%
2020-06-30,$-0.85B,$166.93B,-0.51%
2020-03-31,$-0.55B,$155.73B,-0.33%
2019-12-31,$-0.39B,$168.99B,-0.23%
2019-09-30,$0.41B,$166.85B,0.25%
2019-06-30,$0.44B,$165.16B,0.27%
2019-03-31,$0.38B,$161.99B,0.24%
2018-12-31,$0.76B,$155.43B,0.43%
2018-09-30,$-2.41B,$165.04B,-1.25%
2018-06-30,$-2.40B,$162.74B,-1.16%
2018-03-31,$-2.40B,$219.82B,-1.08%
2017-12-31,$-2.99B,$222.53B,-1.35%
2017-09-30,$-0.26B,$226.64B,-0.12%
2017-06-30,$-0.66B,$219.84B,-0.30%
2017-03-31,$-0.66B,$217.03B,-0.30%
2016-12-31,$-0.33B,$214.59B,-0.15%
2016-09-30,$-0.00B,$218.62B,0.00%
2016-06-30,$0.29B,$217.07B,0.13%
2016-03-31,$0.41B,$214.01B,0.19%
2015-12-31,$0.41B,$218.22B,0.18%
2015-09-30,$1.90B,$218.71B,0.84%
2015-06-30,$2.26B,$226.59B,1.00%
2015-03-31,$2.23B,$229.05B,0.98%
2014-12-31,$2.30B,$226.93B,1.02%
2014-09-30,$1.46B,$224.30B,0.65%
2014-06-30,$1.40B,$228.08B,0.63%
2014-03-31,$1.07B,$223.51B,0.49%
2013-12-31,$0.60B,$221.02B,0.27%
2013-09-30,$0.03B,$217.66B,0.01%
2013-06-30,$0.05B,$217.12B,0.03%
2013-03-31,$0.77B,$220.85B,0.70%
2012-12-31,$0.47B,$216.39B,0.87%
