Comerica Debt/Equity Ratio Historical Data,Comerica Debt/Equity Ratio Historical Data,Comerica Debt/Equity Ratio Historical Data,Comerica Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$80.08B,$8.05B,9.95
2020-09-30,$75.76B,$7.87B,9.62
2020-06-30,$76.60B,$7.80B,9.82
2020-03-31,$68.94B,$7.40B,9.31
2019-12-31,$66.08B,$7.33B,9.02
2019-09-30,$65.65B,$7.20B,9.12
2019-06-30,$65.21B,$7.32B,8.91
2019-03-31,$63.28B,$7.41B,8.54
2018-12-31,$63.31B,$7.51B,8.43
2018-09-30,$63.66B,$7.79B,8.18
2018-06-30,$63.91B,$8.08B,7.91
2018-03-31,$64.34B,$8.00B,8.04
2017-12-31,$63.60B,$7.96B,7.99
2017-09-30,$63.98B,$8.03B,7.96
2017-06-30,$63.46B,$7.99B,7.95
2017-03-31,$65.05B,$7.93B,8.2
2016-12-31,$65.18B,$7.80B,8.36
2016-09-30,$66.40B,$7.73B,8.59
2016-06-30,$63.59B,$7.69B,8.26
2016-03-31,$61.36B,$7.64B,8.03
2015-12-31,$64.32B,$7.56B,8.51
2015-09-30,$63.39B,$7.62B,8.32
2015-06-30,$62.42B,$7.52B,8.3
2015-03-31,$61.84B,$7.50B,8.25
2014-12-31,$61.78B,$7.40B,8.35
2014-09-30,$61.45B,$7.43B,8.27
2014-06-30,$57.96B,$7.37B,7.87
2014-03-31,$58.40B,$7.28B,8.02
2013-12-31,$58.07B,$7.15B,8.12
2013-09-30,$57.70B,$6.97B,8.28
2013-06-30,$56.04B,$6.91B,8.11
2013-03-31,$57.90B,$6.99B,8.29
2012-12-31,$58.13B,$6.94B,8.37
2012-09-30,$56.23B,$7.08B,7.94
2012-06-30,$55.62B,$7.03B,7.91
2012-03-31,$55.61B,$6.99B,7.96
2011-12-31,$54.14B,$6.87B,7.88
2011-09-30,$53.94B,$6.95B,7.76
2011-06-30,$48.10B,$6.04B,7.97
2011-03-31,$49.14B,$5.88B,8.36
2010-12-31,$47.87B,$5.79B,8.26
2010-09-30,$49.15B,$5.86B,8.39
2010-06-30,$50.09B,$5.79B,8.65
2010-03-31,$51.44B,$5.67B,9.08
2009-12-31,$52.22B,$7.03B,7.43
2009-09-30,$52.56B,$7.04B,7.47
2009-06-30,$56.54B,$7.09B,7.97
2009-03-31,$60.19B,$7.18B,8.38
2008-12-31,$60.40B,$7.15B,8.45
2008-09-30,$60.05B,$5.10B,11.78
2008-06-30,$60.92B,$5.08B,11.99
2008-03-31,$61.76B,$5.26B,11.75
2007-12-31,$57.21B,$5.12B,11.18
2007-09-30,$54.95B,$5.07B,10.84
2007-06-30,$53.56B,$5.01B,10.69
2007-03-31,$52.42B,$5.11B,10.26
2006-12-31,$52.85B,$5.15B,10.26
2006-09-30,$53.27B,$5.21B,10.23
2006-06-30,$51.89B,$5.19B,10.0
2006-03-31,$51.35B,$5.09B,10.08
2005-12-31,$47.95B,$5.07B,9.46
2005-09-30,$49.26B,$5.09B,9.68
2005-06-30,$49.57B,$5.12B,9.69
2005-03-31,$48.48B,$5.03B,9.64
