Progressive Debt/Equity Ratio Historical Data,Progressive Debt/Equity Ratio Historical Data,Progressive Debt/Equity Ratio Historical Data,Progressive Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$47.06B,$17.04B,2.76
2020-09-30,$44.80B,$18.09B,2.48
2020-06-30,$42.74B,$16.67B,2.56
2020-03-31,$41.91B,$14.35B,2.92
2019-12-31,$41.24B,$13.67B,3.02
2019-09-30,$39.89B,$14.12B,2.82
2019-06-30,$37.99B,$13.33B,2.85
2019-03-31,$36.74B,$12.11B,3.03
2018-12-31,$35.75B,$10.82B,3.3
2018-09-30,$33.69B,$11.86B,2.84
2018-06-30,$32.36B,$11.00B,2.94
2018-03-31,$31.01B,$10.32B,3.0
2017-12-31,$29.42B,$9.29B,3.17
2017-09-30,$29.64B,$9.29B,3.19
2017-06-30,$27.70B,$8.99B,3.08
2017-03-31,$26.29B,$8.52B,3.08
2016-12-31,$25.47B,$7.96B,3.2
2016-09-30,$25.53B,$8.10B,3.15
2016-06-30,$24.12B,$7.84B,3.08
2016-03-31,$23.16B,$7.56B,3.06
2015-12-31,$22.53B,$7.29B,3.09
2015-09-30,$22.47B,$7.46B,3.01
2015-06-30,$21.94B,$7.36B,2.98
2015-03-31,$19.68B,$7.20B,2.73
2014-12-31,$18.86B,$6.93B,2.72
2014-09-30,$18.99B,$6.94B,2.74
2014-06-30,$18.66B,$6.79B,2.75
2014-03-31,$17.88B,$6.44B,2.78
2013-12-31,$18.22B,$6.19B,2.94
2013-09-30,$17.72B,$6.79B,2.61
2013-06-30,$17.32B,$6.52B,2.66
2013-03-31,$17.15B,$6.39B,2.69
2012-12-31,$16.69B,$6.01B,2.78
2012-09-30,$16.93B,$6.56B,2.58
2012-06-30,$16.43B,$6.29B,2.61
2012-03-31,$16.10B,$6.25B,2.58
2011-12-31,$16.04B,$5.81B,2.76
2011-09-30,$16.33B,$5.82B,2.81
2011-06-30,$15.46B,$6.35B,2.44
2011-03-31,$15.21B,$6.32B,2.41
2010-12-31,$15.10B,$6.05B,2.5
2010-09-30,$15.31B,$6.71B,2.28
2010-06-30,$15.19B,$6.31B,2.41
2010-03-31,$14.84B,$6.21B,2.39
2009-12-31,$14.30B,$5.75B,2.49
2009-09-30,$14.55B,$5.50B,2.65
2009-06-30,$14.16B,$4.93B,2.88
2009-03-31,$13.91B,$4.30B,3.23
2008-12-31,$14.04B,$4.22B,3.33
2008-09-30,$14.38B,$4.26B,3.38
2008-06-30,$14.11B,$4.81B,2.94
2008-03-31,$13.97B,$4.75B,2.94
2007-12-31,$13.91B,$4.94B,2.82
2007-09-30,$14.32B,$5.34B,2.68
2007-06-30,$15.57B,$5.50B,2.83
2007-03-31,$13.08B,$6.93B,1.89
2006-12-31,$12.64B,$6.85B,1.85
2006-09-30,$13.13B,$6.71B,1.96
2006-06-30,$13.18B,$6.42B,2.05
2006-03-31,$12.93B,$6.32B,2.05
2005-12-31,$12.79B,$6.11B,2.09
2005-09-30,$13.35B,$5.81B,2.3
2005-06-30,$12.87B,$5.59B,2.3
2005-03-31,$12.43B,$5.30B,2.35
