MetLife Price/Book Ratio Historical Data,MetLife Price/Book Ratio Historical Data,MetLife Price/Book Ratio Historical Data,MetLife Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,61.92,,0.74
2020-12-31,46.54,$83.79,0.56
2020-09-30,36.41,$81.24,0.45
2020-06-30,35.34,$83.67,0.42
2020-03-31,29.19,$77.64,0.38
2019-12-31,48.24,$72.52,0.67
2019-09-30,44.23,$74.62,0.59
2019-06-30,46.14,$68.43,0.67
2019-03-31,39.18,$61.82,0.63
2018-12-31,37.44,$55.24,0.68
2018-09-30,42.21,$52.51,0.8
2018-06-30,39.03,$53.82,0.73
2018-03-31,40.71,$55.18,0.74
2017-12-31,44.47,$56.41,0.79
2017-09-30,45.36,$54.01,0.84
2017-06-30,42.58,$65.51,0.65
2017-03-31,40.63,$62.99,0.64
2016-12-31,41.13,$61.80,0.67
2016-09-30,33.62,$71.40,0.47
2016-06-30,29.84,$72.24,0.41
2016-03-31,32.61,$69.15,0.47
2015-12-31,35.47,$62.31,0.57
2015-09-30,34.43,$63.68,0.54
2015-06-30,40.61,$62.59,0.65
2015-03-31,36.4,$66.69,0.55
2014-12-31,38.68,$64.10,0.6
2014-09-30,38.17,$63.71,0.6
2014-06-30,39.21,$62.29,0.63
2014-03-31,37.0,$58.97,0.63
2013-12-31,37.57,$55.34,0.68
2013-09-30,32.53,$54.66,0.6
2013-06-30,31.53,$55.09,0.57
2013-03-31,26.02,$59.29,0.44
2012-12-31,22.43,$59.39,0.38
2012-09-30,22.94,$60.60,0.38
2012-06-30,20.54,$59.06,0.35
2012-03-31,24.87,$55.62,0.45
2011-12-31,20.76,$54.72,0.38
2011-09-30,18.25,$57.44,0.32
2011-06-30,28.58,$50.79,0.56
2011-03-31,29.15,$47.55,0.61
2010-12-31,28.96,$49.70,0.58
2010-09-30,24.62,$51.57,0.48
2010-06-30,24.18,$48.42,0.5
2010-03-31,27.75,$44.15,0.63
2009-12-31,22.64,$40.91,0.55
2009-09-30,23.86,$42.25,0.56
2009-06-30,18.8,$33.73,0.56
2009-03-31,14.27,$28.64,0.5
2008-12-31,21.84,$30.22,0.72
2008-09-30,34.3,$39.35,0.87
2008-06-30,32.32,$45.85,0.71
2008-03-31,36.91,$46.51,0.79
2007-12-31,37.75,$48.24,0.78
2007-09-30,42.23,$46.94,0.9
2007-06-30,39.05,$45.17,0.86
2007-03-31,38.24,$45.97,0.83
2006-12-31,35.73,$44.95,0.8
2006-09-30,33.97,$41.59,0.82
2006-06-30,30.69,$36.46,0.84
2006-03-31,28.99,$37.68,0.77
