MetLife Debt/Equity Ratio Historical Data,MetLife Debt/Equity Ratio Historical Data,MetLife Debt/Equity Ratio Historical Data,MetLife Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$720.33B,$74.82B,9.63
2020-09-30,$706.92B,$73.57B,9.61
2020-06-30,$691.64B,$75.94B,9.11
2020-03-31,$667.28B,$70.46B,9.47
2019-12-31,$674.08B,$66.38B,10.16
2019-09-30,$674.19B,$68.62B,9.83
2019-06-30,$668.12B,$64.05B,10.43
2019-03-31,$654.45B,$58.74B,11.14
2018-12-31,$634.58B,$52.96B,11.98
2018-09-30,$646.64B,$51.81B,12.48
2018-06-30,$652.50B,$53.83B,12.12
2018-03-31,$656.08B,$56.51B,11.61
2017-12-31,$661.02B,$58.87B,11.23
2017-09-30,$663.57B,$56.94B,11.65
2017-06-30,$855.53B,$69.67B,12.28
2017-03-31,$846.58B,$68.11B,12.43
2016-12-31,$831.06B,$67.70B,12.28
2016-09-30,$874.44B,$78.47B,11.14
2016-06-30,$863.19B,$79.37B,10.88
2016-03-31,$841.46B,$75.97B,11.08
2015-12-31,$809.51B,$68.42B,11.83
2015-09-30,$811.47B,$70.99B,11.43
2015-06-30,$828.51B,$69.90B,11.85
2015-03-31,$845.48B,$74.31B,11.38
2014-12-31,$829.78B,$72.56B,11.44
2014-09-30,$837.33B,$71.30B,11.74
2014-06-30,$840.95B,$70.17B,11.98
2014-03-31,$824.57B,$66.33B,12.43
2013-12-31,$823.20B,$62.10B,13.26
2013-09-30,$761.38B,$61.27B,12.43
2013-06-30,$755.25B,$60.41B,12.5
2013-03-31,$776.81B,$64.87B,11.98
2012-12-31,$771.94B,$64.84B,11.91
2012-09-30,$781.89B,$64.40B,12.14
2012-06-30,$762.46B,$62.73B,12.16
2012-03-31,$760.59B,$59.01B,12.89
2011-12-31,$738.34B,$57.89B,12.75
2011-09-30,$724.49B,$60.75B,11.93
2011-06-30,$717.77B,$53.71B,13.36
2011-03-31,$701.12B,$50.22B,13.96
2010-12-31,$681.91B,$49.00B,13.92
2010-09-30,$570.49B,$46.77B,12.2
2010-06-30,$534.18B,$39.72B,13.45
2010-03-31,$529.39B,$36.18B,14.63
2009-12-31,$505.82B,$33.50B,15.1
2009-09-30,$500.60B,$34.59B,14.47
2009-06-30,$481.85B,$27.61B,17.45
2009-03-31,$467.98B,$23.43B,19.97
2008-12-31,$477.69B,$23.99B,19.92
2008-09-30,$493.47B,$27.83B,17.73
2008-06-30,$523.25B,$32.54B,16.08
2008-03-31,$524.13B,$33.00B,15.88
2007-12-31,$523.97B,$35.18B,14.89
2007-09-30,$528.33B,$34.75B,15.21
2007-06-30,$519.01B,$33.56B,15.47
2007-03-31,$503.74B,$34.07B,14.79
2006-12-31,$493.92B,$33.80B,14.61
2006-09-30,$484.58B,$31.61B,15.33
2006-06-30,$472.62B,$27.68B,17.07
2006-03-31,$470.54B,$28.57B,16.47
2005-12-31,$452.54B,$29.10B,15.55
2005-09-30,$454.06B,$28.76B,15.79
2005-06-30,$353.26B,$28.17B,12.54
2005-03-31,$339.63B,$23.04B,14.74
