Investors Bancorp ROA - Return on Assets Historical Data,Investors Bancorp ROA - Return on Assets Historical Data,Investors Bancorp ROA - Return on Assets Historical Data,Investors Bancorp ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.22B,$26.02B,0.83%
2020-09-30,$0.20B,$26.61B,0.73%
2020-06-30,$0.18B,$27.19B,0.69%
2020-03-31,$0.19B,$26.68B,0.70%
2019-12-31,$0.20B,$26.70B,0.73%
2019-09-30,$0.18B,$26.73B,0.68%
2019-06-30,$0.18B,$27.06B,0.69%
2019-03-31,$0.19B,$26.55B,0.74%
2018-12-31,$0.20B,$26.23B,0.79%
2018-09-30,$0.16B,$25.52B,0.65%
2018-06-30,$0.16B,$25.37B,0.62%
2018-03-31,$0.14B,$25.23B,0.56%
2017-12-31,$0.13B,$25.13B,0.52%
2017-09-30,$0.18B,$24.78B,0.77%
2017-06-30,$0.19B,$24.32B,0.80%
2017-03-31,$0.19B,$23.89B,0.85%
2016-12-31,$0.19B,$23.18B,0.87%
2016-09-30,$0.18B,$22.54B,0.85%
2016-06-30,$0.18B,$21.72B,0.87%
2016-03-31,$0.18B,$21.19B,0.89%
2015-12-31,$0.18B,$20.89B,0.90%
2015-09-30,$0.18B,$20.33B,0.92%
2015-06-30,$0.17B,$20.04B,0.89%
2015-03-31,$0.14B,$19.37B,0.76%
2014-12-31,$0.13B,$18.77B,0.74%
2014-09-30,$0.12B,$17.83B,0.69%
2014-06-30,$0.11B,$17.46B,0.67%
2014-03-31,$0.12B,$16.43B,0.80%
2013-12-31,$0.11B,$15.62B,0.81%
2013-09-30,$0.11B,$13.81B,0.80%
2013-06-30,$0.10B,$13.35B,0.79%
2013-03-31,$0.10B,$12.84B,0.79%
2012-12-31,$0.09B,$12.72B,0.75%
2012-09-30,$0.09B,$11.48B,0.78%
2012-06-30,$0.08B,$11.48B,0.76%
2012-03-31,$0.08B,$11.26B,0.75%
2011-12-31,$0.08B,$10.70B,0.77%
2011-09-30,$0.08B,$10.51B,0.75%
2011-06-30,$0.07B,$10.21B,0.75%
2011-03-31,$0.07B,$9.83B,0.72%
2010-12-31,$0.06B,$9.60B,0.69%
2010-09-30,$0.06B,$8.95B,0.65%
2010-06-30,$0.05B,$8.87B,0.58%
2010-03-31,$0.04B,$8.75B,0.48%
2009-12-31,$0.03B,$8.36B,0.42%
2009-09-30,$-0.06B,$8.22B,-0.79%
2009-06-30,$-0.07B,$8.14B,-0.89%
2008-12-31,$-0.07B,$7.18B,-1.10%
2008-09-30,$0.01B,$7.04B,0.22%
2007-12-31,$0.01B,$5.87B,0.16%
2007-09-30,$0.02B,$5.83B,0.30%
2006-12-31,$0.02B,$5.45B,0.44%
2006-09-30,$0.01B,$5.63B,0.13%
2005-12-31,$-0.03B,$5.13B,-0.71%
