Cboe Global Markets ROA - Return on Assets Historical Data,Cboe Global Markets ROA - Return on Assets Historical Data,Cboe Global Markets ROA - Return on Assets Historical Data,Cboe Global Markets ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.47B,$6.52B,8.05%
2020-09-30,$0.47B,$6.08B,8.53%
2020-06-30,$0.46B,$5.37B,8.89%
2020-03-31,$0.44B,$5.24B,8.49%
2019-12-31,$0.37B,$5.11B,7.25%
2019-09-30,$0.43B,$5.02B,8.18%
2019-06-30,$0.41B,$5.16B,7.74%
2019-03-31,$0.40B,$5.33B,7.57%
2018-12-31,$0.42B,$5.32B,7.99%
2018-09-30,$0.54B,$5.12B,10.25%
2018-06-30,$0.51B,$5.32B,9.73%
2018-03-31,$0.50B,$5.33B,9.41%
2017-12-31,$0.40B,$5.27B,7.48%
2017-09-30,$0.19B,$5.23B,4.55%
2017-06-30,$0.17B,$5.40B,5.73%
2017-03-31,$0.15B,$5.35B,9.06%
2016-12-31,$0.19B,$0.48B,43.02%
2016-09-30,$0.19B,$0.44B,46.68%
2016-06-30,$0.22B,$0.41B,54.80%
2016-03-31,$0.21B,$0.40B,54.84%
2015-12-31,$0.20B,$0.39B,53.68%
2015-09-30,$0.20B,$0.40B,53.46%
2015-06-30,$0.18B,$0.36B,49.43%
2015-03-31,$0.18B,$0.38B,48.12%
2014-12-31,$0.19B,$0.38B,48.77%
2014-09-30,$0.19B,$0.37B,46.27%
2014-06-30,$0.18B,$0.39B,42.57%
2014-03-31,$0.18B,$0.41B,41.95%
2013-12-31,$0.17B,$0.44B,40.39%
2013-09-30,$0.17B,$0.44B,41.23%
2013-06-30,$0.17B,$0.43B,43.93%
2013-03-31,$0.16B,$0.41B,44.60%
2012-12-31,$0.16B,$0.34B,43.85%
2012-09-30,$0.15B,$0.38B,41.91%
2012-06-30,$0.14B,$0.34B,41.75%
2012-03-31,$0.14B,$0.35B,41.04%
2011-12-31,$0.14B,$0.33B,41.74%
2011-09-30,$0.14B,$0.35B,44.23%
2011-06-30,$0.12B,$0.32B,32.56%
2011-03-31,$0.11B,$0.32B,26.50%
2010-12-31,$0.10B,$0.25B,20.39%
2010-09-30,$0.10B,$0.53B,18.23%
2010-06-30,$0.10B,$0.52B,23.60%
2010-03-31,$0.11B,$0.63B,34.85%
2009-12-31,$0.11B,$0.57B,74.13%
