BrightSphere Investment Group ROA - Return on Assets Historical Data,BrightSphere Investment Group ROA - Return on Assets Historical Data,BrightSphere Investment Group ROA - Return on Assets Historical Data,BrightSphere Investment Group ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.30B,$1.38B,28.32%
2020-03-31,$0.20B,$1.42B,14.31%
2019-12-31,$0.22B,$1.42B,15.91%
2019-09-30,$0.18B,$1.43B,12.42%
2019-06-30,$0.16B,$1.43B,10.70%
2019-03-31,$0.13B,$1.36B,8.83%
2018-12-31,$0.14B,$1.55B,8.98%
2018-09-30,$0.06B,$1.57B,4.27%
2018-06-30,$0.03B,$1.50B,1.98%
2018-03-31,$0.04B,$1.44B,2.83%
2017-12-31,$0.00B,$1.49B,0.29%
2017-09-30,$0.08B,$1.44B,5.90%
2017-06-30,$0.09B,$1.28B,7.17%
2017-03-31,$0.12B,$1.28B,9.57%
2016-12-31,$0.13B,$1.29B,11.18%
2016-09-30,$0.14B,$1.34B,13.05%
2016-06-30,$0.14B,$0.94B,14.62%
2016-03-31,$0.15B,$0.94B,15.81%
2015-12-31,$0.16B,$1.01B,16.15%
2015-09-30,$0.15B,$0.91B,5.74%
2015-06-30,$0.12B,$0.98B,2.64%
2015-03-31,$0.08B,$0.93B,1.82%
2014-12-31,$0.05B,$7.77B,1.31%
2014-06-30,$0.03B,$0.00B,inf%
