BrightSphere Investment Group Price/Book Ratio Historical Data,BrightSphere Investment Group Price/Book Ratio Historical Data,BrightSphere Investment Group Price/Book Ratio Historical Data,BrightSphere Investment Group Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,22.93,,inf
2020-09-30,12.89,,0.0
2020-03-31,6.37,$1.49,4.29
2019-12-31,9.93,$1.33,7.45
2019-09-30,9.54,$0.82,11.6
2019-06-30,10.87,$0.24,45.69
2019-03-31,12.81,$0.09,140.12
2018-12-31,10.01,$1.28,7.85
2018-09-30,11.52,$0.95,12.1
2018-06-30,13.15,$1.37,9.6
2018-03-31,14.44,$1.56,9.28
2017-12-31,15.26,$1.16,13.15
2017-09-30,13.52,$1.20,11.24
2017-06-30,13.38,$1.09,12.29
2017-03-31,13.53,$1.58,8.55
2016-12-31,12.9,$1.45,8.93
2016-09-30,12.31,$1.78,6.91
2016-06-30,11.74,$1.55,7.55
2016-03-31,11.67,$1.46,8.01
2015-12-31,13.32,$1.38,9.68
2015-09-30,13.32,$1.03,12.93
2015-06-30,15.3,$0.88,17.38
2015-03-31,15.96,$0.52,30.48
2014-12-31,13.84,$20.80,0.67
