BrightSphere Investment Group Debt/Equity Ratio Historical Data,BrightSphere Investment Group Debt/Equity Ratio Historical Data,BrightSphere Investment Group Debt/Equity Ratio Historical Data,BrightSphere Investment Group Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$1.00B,$0.38B,2.59
2020-09-30,$0.00B,,0.0
2020-03-31,$1.30B,$0.12B,10.93
2019-12-31,$1.31B,$0.12B,11.4
2019-09-30,$1.36B,$0.07B,19.23
2019-06-30,$1.40B,$0.02B,64.37
2019-03-31,$1.35B,$0.01B,160.42
2018-12-31,$1.42B,$0.13B,10.58
2018-09-30,$1.47B,$0.10B,14.53
2018-06-30,$1.35B,$0.15B,9.04
2018-03-31,$1.26B,$0.17B,7.35
2017-12-31,$1.36B,$0.13B,10.72
2017-09-30,$1.31B,$0.13B,9.91
2017-06-30,$1.16B,$0.12B,9.71
2017-03-31,$1.10B,$0.18B,6.03
2016-12-31,$1.13B,$0.17B,6.84
2016-09-30,$1.12B,$0.21B,5.25
2016-06-30,$0.75B,$0.19B,4.02
2016-03-31,$0.76B,$0.18B,4.33
2015-12-31,$0.85B,$0.17B,5.11
2015-09-30,$0.79B,$0.12B,6.34
2015-06-30,$0.87B,$0.11B,8.23
2015-03-31,$0.87B,$0.06B,13.81
2014-12-31,$5.28B,$2.50B,2.12
2014-09-30,$5.27B,$2.50B,2.11
2014-06-30,$0.00B,$0.00B,0.0
2014-03-31,$0.00B,$0.00B,0.0
2013-12-31,$0.00B,,0.0
2013-09-30,$0.00B,$0.00B,0.0
2012-12-31,$6.19B,$2.34B,2.64
2011-12-31,$0.00B,$0.00B,0.0
