Old Republic Debt/Equity Ratio Historical Data,Old Republic Debt/Equity Ratio Historical Data,Old Republic Debt/Equity Ratio Historical Data,Old Republic Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$16.63B,$6.19B,2.69
2020-09-30,$16.17B,$6.08B,2.66
2020-06-30,$15.79B,$5.86B,2.7
2020-03-31,$15.21B,$5.14B,2.96
2019-12-31,$15.08B,$6.00B,2.51
2019-09-30,$15.39B,$5.79B,2.66
2019-06-30,$15.09B,$5.89B,2.56
2019-03-31,$14.63B,$5.67B,2.58
2018-12-31,$14.18B,$5.15B,2.76
2018-09-30,$14.49B,$5.31B,2.73
2018-06-30,$14.35B,$5.10B,2.81
2018-03-31,$13.95B,$5.05B,2.76
2017-12-31,$14.67B,$4.73B,3.1
2017-09-30,$15.02B,$4.73B,3.18
2017-06-30,$14.70B,$4.66B,3.15
2017-03-31,$14.31B,$4.60B,3.11
2016-12-31,$14.13B,$4.46B,3.17
2016-09-30,$14.36B,$4.45B,3.23
2016-06-30,$13.61B,$4.38B,3.11
2016-03-31,$13.29B,$4.14B,3.21
2015-12-31,$13.22B,$3.88B,3.41
2015-09-30,$13.47B,$3.85B,3.5
2015-06-30,$13.34B,$3.94B,3.39
2015-03-31,$13.19B,$4.01B,3.29
2014-12-31,$13.06B,$3.92B,3.33
2014-09-30,$13.06B,$3.92B,3.33
2014-06-30,$13.23B,$3.95B,3.35
2014-03-31,$12.95B,$3.87B,3.35
2013-12-31,$12.76B,$3.78B,3.38
2013-09-30,$12.81B,$3.72B,3.45
2013-06-30,$12.72B,$3.59B,3.55
2013-03-31,$12.74B,$3.67B,3.47
2012-12-31,$12.63B,$3.60B,3.51
2012-09-30,$12.50B,$3.69B,3.39
2012-06-30,$12.16B,$3.71B,3.28
2012-03-31,$12.39B,$3.77B,3.28
2011-12-31,$12.28B,$3.77B,3.26
2011-09-30,$12.17B,$3.83B,3.18
2011-06-30,$12.12B,$3.97B,3.05
2011-03-31,$12.25B,$4.05B,3.03
2010-12-31,$11.76B,$4.12B,2.85
2010-09-30,$9.96B,$4.04B,2.47
2010-06-30,$9.99B,$3.98B,2.51
2010-03-31,$10.25B,$4.00B,2.56
2009-12-31,$10.30B,$3.89B,2.65
2009-09-30,$10.41B,$3.90B,2.67
2009-06-30,$9.97B,$3.75B,2.66
2009-03-31,$9.65B,$3.64B,2.65
2008-12-31,$9.53B,$3.74B,2.55
2008-09-30,$9.29B,$3.91B,2.37
2008-06-30,$9.05B,$4.06B,2.23
2008-03-31,$8.87B,$4.38B,2.03
2007-12-31,$8.75B,$4.54B,1.93
2007-09-30,$8.61B,$4.56B,1.89
2007-06-30,$8.19B,$4.52B,1.81
2007-03-31,$8.30B,$4.47B,1.86
2006-12-31,$8.24B,$4.37B,1.89
2006-09-30,$7.80B,$4.31B,1.81
2006-06-30,$7.52B,$4.13B,1.82
2006-03-31,$7.55B,$4.07B,1.86
2005-12-31,$7.52B,$4.02B,1.87
2005-09-30,$7.21B,$4.13B,1.75
2005-06-30,$6.98B,$4.07B,1.71
2005-03-31,$6.80B,$3.88B,1.75
