Old Republic Price/Book Ratio Historical Data,Old Republic Price/Book Ratio Historical Data,Old Republic Price/Book Ratio Historical Data,Old Republic Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,23.38,,1.15
2020-12-31,18.5,$20.34,0.91
2020-09-30,13.68,$19.98,0.68
2020-06-30,14.94,$19.27,0.78
2020-03-31,13.79,$16.92,0.82
2019-12-31,20.03,$19.76,1.01
2019-09-30,20.92,$19.09,1.1
2019-06-30,18.85,$19.44,0.97
2019-03-31,17.47,$18.70,0.93
2018-12-31,17.01,$17.00,1.0
2018-09-30,18.35,$17.55,1.05
2018-06-30,16.18,$16.87,0.96
2018-03-31,17.27,$16.71,1.03
2017-12-31,16.23,$17.58,0.92
2017-09-30,14.81,$17.93,0.83
2017-06-30,14.55,$17.68,0.82
2017-03-31,15.11,$17.44,0.87
2016-12-31,13.89,$16.98,0.82
2016-09-30,12.75,$16.93,0.75
2016-06-30,13.82,$16.68,0.83
2016-03-31,12.97,$15.80,0.82
2015-12-31,13.08,$14.81,0.88
2015-09-30,10.88,$14.74,0.74
2015-06-30,10.74,$15.07,0.71
2015-03-31,10.14,$15.37,0.66
2014-12-31,9.81,$15.04,0.65
2014-09-30,9.46,$15.04,0.63
2014-06-30,10.82,$15.16,0.71
2014-03-31,10.62,$14.84,0.72
2013-12-31,11.05,$14.49,0.76
2013-09-30,9.75,$14.29,0.68
2013-06-30,8.05,$13.80,0.58
2013-03-31,7.84,$14.15,0.55
2012-12-31,6.47,$13.86,0.47
2012-09-30,5.56,$14.22,0.39
2012-06-30,4.86,$14.31,0.34
2012-03-31,6.07,$14.54,0.42
2011-12-31,5.17,$14.55,0.36
2011-09-30,4.87,$14.76,0.33
2011-06-30,6.29,$15.32,0.41
2011-03-31,6.7,$15.62,0.43
2010-12-31,7.09,$15.90,0.45
2010-09-30,7.11,$16.75,0.42
2010-06-30,6.14,$16.53,0.37
2010-03-31,6.34,$16.58,0.38
2009-12-31,4.95,$16.17,0.31
2009-09-30,5.91,$16.21,0.36
2009-06-30,4.71,$15.60,0.3
2009-03-31,5.09,$15.15,0.34
2008-12-31,5.5,$15.55,0.35
2008-09-30,5.78,$16.96,0.34
2008-06-30,5.29,$17.59,0.3
2008-03-31,5.7,$18.99,0.3
2007-12-31,6.72,$19.71,0.34
2007-09-30,8.09,$19.81,0.41
2007-06-30,9.09,$19.51,0.47
2007-03-31,9.39,$19.33,0.49
2006-12-31,9.82,$18.91,0.52
2006-09-30,9.28,$18.71,0.5
2006-06-30,8.89,$17.96,0.5
2006-03-31,9.01,$17.69,0.51
