TCF Financial Debt/Equity Ratio Historical Data,TCF Financial Debt/Equity Ratio Historical Data,TCF Financial Debt/Equity Ratio Historical Data,TCF Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$42.11B,$5.69B,7.4
2020-09-30,$41.91B,$5.66B,7.41
2020-06-30,$44.40B,$5.66B,7.85
2020-03-31,$42.94B,$5.66B,7.59
2019-12-31,$40.92B,$5.73B,7.15
2019-09-30,$40.00B,$5.69B,7.03
2019-06-30,$19.54B,$2.95B,6.62
2019-03-31,$18.90B,$2.90B,6.52
2018-12-31,$21.14B,$2.56B,8.27
2018-09-30,$18.12B,$2.79B,6.5
2018-06-30,$17.53B,$2.75B,6.37
2018-03-31,$17.05B,$2.70B,6.31
2017-12-31,$16.61B,$2.67B,6.23
2017-09-30,$16.68B,$2.67B,6.24
2017-06-30,$16.14B,$2.64B,6.12
2017-03-31,$15.04B,$2.60B,5.78
2016-12-31,$14.77B,$2.58B,5.72
2016-09-30,$14.82B,$2.56B,5.78
2016-06-30,$8.46B,$1.05B,8.06
2016-03-31,$8.27B,$1.03B,8.01
2015-12-31,$8.17B,$1.02B,8.04
2015-09-30,$8.27B,$1.00B,8.28
2015-06-30,$8.04B,$0.98B,8.2
2015-03-31,$6.74B,$0.81B,8.32
2014-12-31,$6.53B,$0.80B,8.19
2014-09-30,$5.80B,$0.80B,7.23
2014-06-30,$5.44B,$0.79B,6.85
2014-03-31,$5.63B,$0.71B,7.98
2013-12-31,$5.49B,$0.70B,7.88
2013-09-30,$5.59B,$0.67B,8.3
2013-06-30,$5.20B,$0.61B,8.53
2013-03-31,$5.39B,$0.61B,8.91
2012-12-31,$5.32B,$0.60B,8.92
2012-09-30,$4.98B,$0.60B,8.33
2012-06-30,$4.76B,$0.59B,8.09
2012-03-31,$4.87B,$0.58B,8.4
2011-12-31,$4.77B,$0.57B,8.34
2011-09-30,$4.86B,$0.58B,8.43
2011-06-30,$4.63B,$0.57B,8.12
2011-03-31,$4.77B,$0.56B,8.46
2010-12-31,$4.69B,$0.56B,8.37
2010-09-30,$4.84B,$0.56B,8.63
2010-06-30,$4.56B,$0.56B,8.21
2010-03-31,$3.82B,$0.47B,8.09
2009-12-31,$3.78B,$0.47B,7.96
2009-09-30,$3.79B,$0.48B,7.91
2009-06-30,$3.52B,$0.48B,7.27
2009-03-31,$3.49B,$0.49B,7.16
2008-12-31,$3.38B,$0.49B,6.88
2008-09-30,$3.28B,$0.51B,6.49
2008-06-30,$3.22B,$0.51B,6.27
2008-03-31,$3.29B,$0.52B,6.38
2007-12-31,$3.25B,$0.51B,6.38
2007-09-30,$3.32B,$0.50B,6.59
2007-06-30,$3.28B,$0.51B,6.47
2007-03-31,$3.30B,$0.52B,6.38
2006-12-31,$3.28B,$0.51B,6.46
2006-09-30,$3.33B,$0.51B,6.48
2006-06-30,$3.23B,$0.50B,6.4
2006-03-31,$3.23B,$0.51B,6.34
2005-12-31,$3.25B,$0.50B,6.48
2005-09-30,$3.34B,$0.50B,6.72
2005-06-30,$3.23B,$0.50B,6.53
2005-03-31,$3.31B,$0.49B,6.8
