Huntington Bancshares Price/Book Ratio Historical Data,Huntington Bancshares Price/Book Ratio Historical Data,Huntington Bancshares Price/Book Ratio Historical Data,Huntington Bancshares Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,16.27,,1.27
2020-12-31,12.51,$12.77,0.98
2020-09-30,8.98,$12.70,0.71
2020-06-30,8.71,$12.10,0.72
2020-03-31,7.8,$11.60,0.67
2019-12-31,14.08,$11.56,1.22
2019-09-30,13.19,$11.53,1.14
2019-06-30,12.65,$11.24,1.13
2019-03-31,11.48,$10.92,1.05
2018-12-31,10.69,$10.61,1.01
2018-09-30,13.38,$10.30,1.3
2018-06-30,13.12,$10.39,1.26
2018-03-31,13.32,$10.26,1.3
2017-12-31,12.76,$10.09,1.26
2017-09-30,12.14,$9.90,1.23
2017-06-30,11.69,$9.77,1.2
2017-03-31,11.5,$9.60,1.2
2016-12-31,11.29,$9.49,1.19
2016-09-30,8.37,$9.58,0.87
2016-06-30,7.54,$9.39,0.8
2016-03-31,7.98,$8.98,0.89
2015-12-31,9.19,$8.30,1.11
2015-09-30,8.75,$8.26,1.06
2015-06-30,9.29,$8.09,1.15
2015-03-31,9.02,$7.99,1.13
2014-12-31,8.55,$7.80,1.1
2014-09-30,7.86,$7.72,1.02
2014-06-30,7.67,$7.64,1.0
2014-03-31,7.97,$7.46,1.07
2013-12-31,7.67,$7.33,1.05
2013-09-30,6.53,$7.18,0.91
2013-06-30,6.19,$6.97,0.89
2013-03-31,5.76,$7.00,0.82
2012-12-31,4.97,$6.87,0.72
2012-09-30,5.32,$6.79,0.78
2012-06-30,4.91,$6.58,0.75
2012-03-31,4.92,$6.42,0.77
2011-12-31,4.16,$6.27,0.66
2011-09-30,3.61,$6.25,0.58
2011-06-30,4.9,$6.08,0.8
2011-03-31,4.95,$5.84,0.85
2010-12-31,5.11,$5.77,0.89
2010-09-30,4.23,$7.76,0.54
2010-06-30,4.11,$7.59,0.54
2010-03-31,3.99,$7.49,0.53
2009-12-31,2.7,$7.46,0.36
2009-09-30,3.47,$7.94,0.44
2009-06-30,3.07,$9.18,0.33
2009-03-31,1.22,$12.32,0.1
2008-12-31,5.57,$19.75,0.28
2008-09-30,5.72,$17.42,0.33
2008-06-30,4.06,$17.43,0.23
2008-03-31,7.43,$16.13,0.46
2007-12-31,9.97,$16.24,0.61
2007-09-30,11.27,$17.08,0.66
2007-06-30,14.87,$12.97,1.15
2007-03-31,14.12,$12.95,1.09
2006-12-31,15.16,$12.80,1.18
2006-09-30,15.12,$13.19,1.15
2006-06-30,14.75,$12.38,1.19
2006-03-31,14.93,$12.56,1.19
