Ally Financial ROA - Return on Assets Historical Data,Ally Financial ROA - Return on Assets Historical Data,Ally Financial ROA - Return on Assets Historical Data,Ally Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$1.09B,$182.17B,0.59%
2020-09-30,$0.78B,$185.27B,0.42%
2020-06-30,$0.68B,$184.06B,0.37%
2020-03-31,$1.02B,$182.53B,0.56%
2019-12-31,$1.72B,$180.64B,0.95%
2019-09-30,$1.63B,$181.49B,0.90%
2019-06-30,$1.62B,$180.45B,0.91%
2019-03-31,$1.39B,$180.12B,0.79%
2018-12-31,$1.26B,$178.87B,0.73%
2018-09-30,$1.15B,$173.10B,0.68%
2018-06-30,$1.06B,$171.35B,0.63%
2018-03-31,$0.97B,$170.02B,0.58%
2017-12-31,$0.93B,$167.15B,0.57%
2017-09-30,$1.00B,$164.01B,0.61%
2017-06-30,$0.92B,$164.35B,0.57%
2017-03-31,$1.02B,$162.10B,0.63%
2016-12-31,$1.04B,$163.73B,0.65%
2016-09-30,$-0.16B,$157.40B,-0.10%
2016-06-30,$-0.14B,$157.93B,-0.09%
2016-03-31,$-1.56B,$156.51B,-0.99%
2015-12-31,$-1.28B,$158.58B,-0.82%
2015-09-30,$-0.22B,$156.11B,-0.14%
2015-06-30,$-0.10B,$156.47B,-0.06%
2015-03-31,$1.23B,$153.52B,0.82%
2014-12-31,$0.88B,$151.63B,0.59%
2014-09-30,$0.43B,$149.20B,0.29%
2014-06-30,$-0.04B,$149.94B,-0.03%
2014-03-31,$-1.42B,$148.45B,-0.95%
2013-12-31,$-0.69B,$151.17B,-0.61%
2013-06-30,$-0.05B,$150.63B,-0.14%
2013-03-31,$-0.02B,$0.00B,inf%
