Ally Financial Price/Book Ratio Historical Data,Ally Financial Price/Book Ratio Historical Data,Ally Financial Price/Book Ratio Historical Data,Ally Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,47.15,,1.2
2020-12-31,35.48,$39.24,0.9
2020-09-30,24.77,$37.78,0.66
2020-06-30,19.41,$36.98,0.52
2020-03-31,13.96,$36.23,0.39
2019-12-31,29.4,$38.51,0.76
2019-09-30,31.73,$37.68,0.84
2019-06-30,29.5,$36.45,0.81
2019-03-31,26.02,$34.27,0.76
2018-12-31,21.31,$32.77,0.65
2018-09-30,24.72,$31.41,0.79
2018-06-30,24.42,$30.86,0.79
2018-03-31,25.11,$30.23,0.83
2017-12-31,26.85,$30.87,0.87
2017-09-30,22.24,$30.58,0.73
2017-06-30,19.06,$29.79,0.64
2017-03-31,18.47,$28.92,0.64
2016-12-31,17.21,$28.52,0.6
2016-09-30,17.54,$28.67,0.61
2016-06-30,15.31,$28.14,0.54
2016-03-31,16.79,$28.49,0.59
2015-12-31,16.71,$27.88,0.6
2015-09-30,18.27,$30.30,0.6
2015-06-30,20.11,$29.67,0.68
2015-03-31,18.81,$33.09,0.57
2014-12-31,21.18,$32.08,0.66
2014-09-30,20.75,$31.66,0.66
2014-06-30,21.44,$31.01,0.69
2014-03-31,25.02,$30.14,0.83
