Assurant Debt/Equity Ratio Historical Data,Assurant Debt/Equity Ratio Historical Data,Assurant Debt/Equity Ratio Historical Data,Assurant Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$38.70B,$5.96B,6.5
2020-09-30,$37.64B,$5.94B,6.34
2020-06-30,$38.25B,$5.99B,6.39
2020-03-31,$38.04B,$5.39B,7.06
2019-12-31,$38.61B,$5.68B,6.8
2019-09-30,$38.06B,$5.69B,6.69
2019-06-30,$37.38B,$5.76B,6.49
2019-03-31,$36.77B,$5.47B,6.72
2018-12-31,$35.96B,$5.13B,7.0
2018-09-30,$38.20B,$5.24B,7.29
2018-06-30,$37.03B,$5.33B,6.94
2018-03-31,$27.93B,$4.50B,6.21
2017-12-31,$27.56B,$4.28B,6.44
2017-09-30,$28.27B,$4.14B,6.83
2017-06-30,$25.83B,$4.23B,6.12
2017-03-31,$25.41B,$4.16B,6.11
2016-12-31,$25.61B,$4.10B,6.25
2016-09-30,$25.78B,$4.51B,5.72
2016-06-30,$25.20B,$4.61B,5.47
2016-03-31,$25.72B,$4.57B,5.64
2015-12-31,$25.51B,$4.52B,5.64
2015-09-30,$25.90B,$4.68B,5.53
2015-06-30,$26.01B,$4.83B,5.39
2015-03-31,$25.67B,$5.13B,5.01
2014-12-31,$26.38B,$5.18B,5.09
2014-09-30,$25.33B,$5.34B,4.74
2014-06-30,$25.27B,$5.35B,4.72
2014-03-31,$24.57B,$5.10B,4.82
2013-12-31,$24.88B,$4.83B,5.15
2013-09-30,$24.57B,$4.78B,5.14
2013-06-30,$23.93B,$4.80B,4.99
2013-03-31,$24.28B,$5.21B,4.66
2012-12-31,$23.76B,$5.19B,4.58
2012-09-30,$22.94B,$5.23B,4.39
2012-06-30,$22.21B,$5.03B,4.41
2012-03-31,$22.29B,$4.97B,4.49
2011-12-31,$22.15B,$4.87B,4.54
2011-09-30,$21.76B,$5.01B,4.34
2011-06-30,$21.90B,$4.88B,4.49
2011-03-31,$21.95B,$4.75B,4.62
2010-12-31,$21.62B,$4.78B,4.52
2010-09-30,$21.48B,$5.37B,4.0
2010-06-30,$21.08B,$5.04B,4.18
2010-03-31,$21.27B,$4.97B,4.28
2009-12-31,$21.01B,$4.85B,4.33
2009-09-30,$20.76B,$4.90B,4.23
2009-06-30,$20.46B,$4.37B,4.69
2009-03-31,$20.15B,$3.67B,5.49
2008-12-31,$20.81B,$3.71B,5.61
2008-09-30,$21.62B,$3.73B,5.79
2008-06-30,$21.97B,$4.25B,5.17
2008-03-31,$22.24B,$4.21B,5.29
2007-12-31,$22.66B,$4.09B,5.54
2007-09-30,$22.65B,$3.92B,5.77
2007-06-30,$21.96B,$3.81B,5.76
2007-03-31,$21.54B,$3.92B,5.49
2006-12-31,$21.33B,$3.83B,5.57
2006-09-30,$21.26B,$3.76B,5.66
2006-06-30,$20.96B,$3.57B,5.87
2006-03-31,$21.03B,$3.65B,5.76
2005-12-31,$21.67B,$3.70B,5.86
2005-09-30,$21.75B,$3.67B,5.93
2005-06-30,$20.61B,$3.84B,5.36
2005-03-31,$20.69B,$3.64B,5.69
