Cullen/Frost Bankers Debt/Equity Ratio Historical Data,Cullen/Frost Bankers Debt/Equity Ratio Historical Data,Cullen/Frost Bankers Debt/Equity Ratio Historical Data,Cullen/Frost Bankers Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$38.10B,$4.29B,8.87
2020-09-30,$36.02B,$4.09B,8.82
2020-06-30,$35.37B,$4.01B,8.82
2020-03-31,$30.32B,$3.83B,7.92
2019-12-31,$30.12B,$3.91B,7.7
2019-09-30,$29.22B,$3.88B,7.53
2019-06-30,$28.08B,$3.74B,7.51
2019-03-31,$28.07B,$3.59B,7.81
2018-12-31,$28.92B,$3.37B,8.59
2018-09-30,$27.92B,$3.31B,8.44
2018-06-30,$27.38B,$3.31B,8.27
2018-03-31,$28.22B,$3.24B,8.7
2017-12-31,$28.45B,$3.30B,8.63
2017-09-30,$27.80B,$3.19B,8.72
2017-06-30,$26.98B,$3.22B,8.37
2017-03-31,$27.43B,$3.10B,8.86
2016-12-31,$27.19B,$3.00B,9.06
2016-09-30,$26.44B,$3.16B,8.36
2016-06-30,$25.84B,$3.14B,8.24
2016-03-31,$25.41B,$2.99B,8.49
2015-12-31,$25.68B,$2.89B,8.88
2015-09-30,$25.44B,$2.91B,8.76
2015-06-30,$24.91B,$2.87B,8.67
2015-03-31,$25.25B,$2.91B,8.67
2014-12-31,$25.43B,$2.85B,8.92
2014-09-30,$24.55B,$2.82B,8.71
2014-06-30,$23.75B,$2.77B,8.57
2014-03-31,$22.12B,$2.57B,8.62
2013-12-31,$21.80B,$2.51B,8.67
2013-09-30,$21.05B,$2.48B,8.48
2013-06-30,$20.14B,$2.43B,8.3
2013-03-31,$20.05B,$2.44B,8.21
2012-12-31,$20.71B,$2.42B,8.57
2012-09-30,$19.43B,$2.42B,8.03
2012-06-30,$18.50B,$2.36B,7.83
2012-03-31,$18.10B,$2.32B,7.8
2011-12-31,$18.03B,$2.28B,7.9
2011-09-30,$17.24B,$2.25B,7.67
2011-06-30,$16.30B,$2.18B,7.49
2011-03-31,$15.84B,$2.10B,7.55
2010-12-31,$15.56B,$2.06B,7.55
2010-09-30,$15.62B,$2.12B,7.38
2010-06-30,$15.02B,$2.04B,7.36
2010-03-31,$14.81B,$1.95B,7.6
2009-12-31,$14.39B,$1.89B,7.6
2009-09-30,$14.25B,$1.91B,7.48
2009-06-30,$13.99B,$1.80B,7.78
2009-03-31,$13.53B,$1.80B,7.5
2008-12-31,$13.27B,$1.76B,7.53
2008-09-30,$12.45B,$1.61B,7.73
2008-06-30,$12.13B,$1.54B,7.86
2008-03-31,$12.22B,$1.58B,7.75
2007-12-31,$12.01B,$1.48B,8.13
2007-09-30,$11.78B,$1.39B,8.5
2007-06-30,$11.59B,$1.36B,8.54
2007-03-31,$11.76B,$1.42B,8.29
2006-12-31,$11.85B,$1.38B,8.6
2006-09-30,$10.53B,$1.12B,9.39
2006-06-30,$10.38B,$1.03B,10.09
2006-03-31,$10.57B,$1.01B,10.46
2005-12-31,$10.76B,$0.98B,10.95
2005-09-30,$9.38B,$0.90B,10.46
2005-06-30,$9.07B,$0.88B,10.32
2005-03-31,$9.04B,$0.81B,11.19
