Marsh & McLennan Price/Book Ratio Historical Data,Marsh & McLennan Price/Book Ratio Historical Data,Marsh & McLennan Price/Book Ratio Historical Data,Marsh & McLennan Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,126.18,,6.92
2020-12-31,116.07,$18.24,6.36
2020-09-30,113.33,$17.26,6.57
2020-06-30,105.66,$16.57,6.38
2020-03-31,84.64,$14.73,5.75
2019-12-31,108.64,$15.77,6.89
2019-09-30,97.1,$15.44,6.29
2019-06-30,96.38,$16.46,5.86
2019-03-31,90.32,$15.75,5.73
2018-12-31,76.71,$15.05,5.1
2018-09-30,79.16,$14.97,5.29
2018-06-30,78.06,$15.44,5.06
2018-03-31,78.29,$15.79,4.96
2017-12-31,76.81,$14.63,5.25
2017-09-30,78.74,$13.95,5.64
2017-06-30,73.24,$13.79,5.31
2017-03-31,69.1,$12.85,5.38
2016-12-31,62.89,$12.20,5.15
2016-09-30,62.26,$13.08,4.76
2016-06-30,63.05,$12.92,4.88
2016-03-31,55.71,$12.98,4.29
2015-12-31,50.51,$12.65,3.99
2015-09-30,47.29,$12.14,3.89
2015-06-30,51.07,$12.93,3.95
2015-03-31,50.27,$12.75,3.94
2014-12-31,51.05,$13.21,3.87
2014-09-30,46.43,$14.60,3.18
2014-06-30,45.72,$15.08,3.03
2014-03-31,43.27,$14.64,2.95
2013-12-31,42.21,$14.59,2.89
2013-09-30,37.79,$13.01,2.9
2013-06-30,34.43,$12.47,2.76
2013-03-31,32.55,$12.20,2.67
2012-12-31,29.35,$12.11,2.42
2012-09-30,28.7,$12.10,2.37
2012-06-30,27.07,$11.67,2.32
2012-03-31,27.36,$11.48,2.38
2011-12-31,26.2,$11.02,2.38
2011-09-30,21.82,$12.03,1.81
2011-06-30,25.46,$12.53,2.03
2011-03-31,24.16,$12.20,1.98
2010-12-31,21.99,$11.87,1.85
2010-09-30,19.23,$11.81,1.63
2010-06-30,17.82,$11.16,1.6
2010-03-31,19.14,$11.12,1.72
2009-12-31,17.15,$11.07,1.55
2009-09-30,19.05,$11.49,1.66
2009-06-30,15.35,$11.02,1.39
2009-03-31,15.28,$11.02,1.39
2008-12-31,18.13,$11.20,1.62
2008-09-30,23.56,$13.46,1.75
2008-06-30,19.55,$14.72,1.33
2008-03-31,17.79,$14.72,1.21
2007-12-31,19.2,$15.03,1.28
2007-09-30,18.36,$13.32,1.38
2007-06-30,22.1,$10.44,2.12
2007-03-31,20.83,$10.72,1.94
2006-12-31,21.67,$10.54,2.06
2006-09-30,19.77,$11.27,1.75
2006-06-30,18.77,$10.95,1.71
2006-03-31,20.37,$10.46,1.95
