CNO Financial Price/Book Ratio Historical Data,CNO Financial Price/Book Ratio Historical Data,CNO Financial Price/Book Ratio Historical Data,CNO Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,25.24,,0.62
2020-12-31,22.12,$40.54,0.55
2020-09-30,15.88,$36.59,0.43
2020-06-30,15.31,$33.38,0.46
2020-03-31,12.09,$26.22,0.46
2019-12-31,17.56,$31.58,0.56
2019-09-30,15.24,$29.92,0.51
2019-06-30,15.94,$27.12,0.59
2019-03-31,15.36,$23.99,0.64
2018-12-31,14.04,$20.78,0.68
2018-09-30,19.78,$21.99,0.9
2018-06-30,17.67,$27.09,0.65
2018-03-31,20.01,$27.59,0.73
2017-12-31,22.7,$29.05,0.78
2017-09-30,21.38,$29.10,0.73
2017-06-30,19.05,$28.28,0.67
2017-03-31,18.62,$26.77,0.7
2016-12-31,17.33,$25.82,0.67
2016-09-30,13.76,$25.89,0.53
2016-06-30,15.65,$25.28,0.62
2016-03-31,16.0,$23.60,0.68
2015-12-31,16.98,$22.49,0.75
2015-09-30,16.67,$22.34,0.75
2015-06-30,16.2,$22.56,0.72
2015-03-31,15.14,$23.93,0.63
2014-12-31,15.09,$23.06,0.65
2014-09-30,14.81,$22.74,0.65
2014-06-30,15.49,$22.66,0.68
2014-03-31,15.69,$21.48,0.73
2013-12-31,15.29,$22.49,0.68
2013-09-30,12.42,$21.56,0.58
2013-06-30,11.16,$20.88,0.53
2013-03-31,9.83,$22.50,0.44
2012-12-31,8.0,$22.80,0.35
2012-09-30,8.26,$22.07,0.37
2012-06-30,6.66,$20.91,0.32
2012-03-31,6.62,$19.58,0.34
2011-12-31,5.37,$19.12,0.28
2011-09-30,4.6,$20.34,0.23
2011-06-30,6.73,$18.30,0.37
2011-03-31,6.39,$17.50,0.37
2010-12-31,5.77,$17.23,0.33
2010-09-30,4.72,$18.34,0.26
2010-06-30,4.21,$16.66,0.25
2010-03-31,5.29,$14.83,0.36
2009-12-31,4.26,$14.09,0.3
2009-09-30,4.48,$18.03,0.25
2009-06-30,2.02,$13.06,0.15
2009-03-31,0.78,$8.61,0.09
2008-12-31,4.41,$8.82,0.5
2008-09-30,3.0,$14.64,0.2
2008-06-30,8.44,$18.31,0.46
2008-03-31,8.68,$21.34,0.41
2007-12-31,10.69,$22.94,0.47
2007-09-30,13.62,$23.10,0.59
2007-06-30,17.78,$23.19,0.77
2007-03-31,14.72,$31.32,0.47
2006-12-31,17.01,$30.89,0.55
2006-09-30,17.87,$31.02,0.58
2006-06-30,19.66,$28.36,0.69
2006-03-31,21.13,$28.27,0.75
