CNO Financial Debt/Equity Ratio Historical Data,CNO Financial Debt/Equity Ratio Historical Data,CNO Financial Debt/Equity Ratio Historical Data,CNO Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$29.86B,$5.48B,5.44
2020-09-30,$29.49B,$5.08B,5.8
2020-06-30,$29.25B,$4.73B,6.18
2020-03-31,$28.97B,$3.77B,7.69
2019-12-31,$28.95B,$4.68B,6.19
2019-09-30,$28.73B,$4.55B,6.31
2019-06-30,$28.46B,$4.25B,6.69
2019-03-31,$28.48B,$3.84B,7.42
2018-12-31,$28.07B,$3.37B,8.33
2018-09-30,$28.03B,$3.62B,7.74
2018-06-30,$28.02B,$4.46B,6.29
2018-03-31,$28.19B,$4.62B,6.11
2017-12-31,$28.26B,$4.85B,5.83
2017-09-30,$27.82B,$4.88B,5.7
2017-06-30,$28.06B,$4.78B,5.87
2017-03-31,$27.82B,$4.61B,6.04
2016-12-31,$27.49B,$4.49B,6.13
2016-09-30,$27.93B,$4.49B,6.22
2016-06-30,$27.57B,$4.46B,6.19
2016-03-31,$27.23B,$4.23B,6.44
2015-12-31,$26.99B,$4.14B,6.52
2015-09-30,$26.84B,$4.17B,6.44
2015-06-30,$26.69B,$4.36B,6.11
2015-03-31,$26.84B,$4.75B,5.65
2014-12-31,$26.47B,$4.69B,5.65
2014-09-30,$26.25B,$4.72B,5.56
2014-06-30,$30.07B,$4.84B,6.21
2014-03-31,$29.75B,$4.71B,6.32
2013-12-31,$29.83B,$4.96B,6.02
2013-09-30,$29.13B,$4.79B,6.09
2013-06-30,$29.19B,$4.58B,6.37
2013-03-31,$29.87B,$5.03B,5.94
2012-12-31,$29.08B,$5.05B,5.76
2012-09-30,$29.09B,$5.07B,5.74
2012-06-30,$28.49B,$4.89B,5.82
2012-03-31,$28.36B,$4.68B,6.06
2011-12-31,$28.31B,$4.61B,6.14
2011-09-30,$27.98B,$4.95B,5.65
2011-06-30,$27.83B,$4.56B,6.1
2011-03-31,$27.67B,$4.40B,6.29
2010-12-31,$27.57B,$4.33B,6.38
2010-09-30,$27.37B,$4.60B,5.94
2010-06-30,$27.04B,$4.18B,6.46
2010-03-31,$27.07B,$3.72B,7.28
2009-12-31,$26.81B,$3.53B,7.59
2009-09-30,$26.94B,$3.33B,8.08
2009-06-30,$27.02B,$2.42B,11.19
2009-03-31,$26.92B,$1.59B,16.92
2008-12-31,$27.13B,$1.63B,16.65
2008-09-30,$29.36B,$2.70B,10.86
2008-06-30,$29.30B,$3.38B,8.66
2008-03-31,$29.33B,$3.94B,7.44
2007-12-31,$29.74B,$4.24B,7.02
2007-09-30,$31.86B,$4.30B,7.4
2007-06-30,$29.06B,$4.38B,6.64
2007-03-31,$28.43B,$4.72B,6.02
2006-12-31,$28.02B,$4.70B,5.96
2006-09-30,$27.59B,$4.71B,5.86
2006-06-30,$27.26B,$4.30B,6.34
2006-03-31,$27.09B,$4.28B,6.32
2005-12-31,$27.01B,$4.52B,5.98
2005-09-30,$26.86B,$3.95B,6.79
2005-06-30,$26.89B,$4.20B,6.41
2005-03-31,$26.91B,$3.80B,7.09
