CME Group Price/Book Ratio Historical Data,CME Group Price/Book Ratio Historical Data,CME Group Price/Book Ratio Historical Data,CME Group Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,204.63,,2.78
2020-12-31,181.27,$73.58,2.46
2020-09-30,163.53,$75.44,2.17
2020-06-30,158.07,$75.03,2.11
2020-03-31,167.41,$74.36,2.25
2019-12-31,193.53,$73.18,2.64
2019-09-30,200.54,$75.01,2.67
2019-06-30,183.55,$74.16,2.48
2019-03-31,155.05,$73.35,2.11
2018-12-31,176.46,$72.77,2.43
2018-09-30,157.57,$68.54,2.3
2018-06-30,151.14,$68.11,2.22
2018-03-31,148.52,$67.09,2.21
2017-12-31,133.56,$66.07,2.02
2017-09-30,120.65,$61.52,1.96
2017-06-30,110.78,$61.35,1.81
2017-03-31,104.51,$60.72,1.72
2016-12-31,100.93,$60.14,1.68
2016-09-30,88.54,$62.92,1.41
2016-06-30,82.05,$62.45,1.31
2016-03-31,80.41,$61.80,1.3
2015-12-31,75.36,$61.00,1.24
2015-09-30,74.38,$63.48,1.17
2015-06-30,74.24,$63.24,1.17
2015-03-31,75.16,$62.80,1.2
2014-12-31,69.99,$62.37,1.12
2014-09-30,61.44,$64.29,0.96
2014-06-30,54.18,$64.22,0.84
2014-03-31,56.15,$63.80,0.88
2013-12-31,59.15,$63.38,0.93
2013-09-30,53.65,$65.91,0.81
2013-06-30,54.81,$65.71,0.83
2013-03-31,44.03,$64.90,0.68
2012-12-31,36.07,$64.56,0.56
2012-09-30,39.45,$65.45,0.6
2012-06-30,36.63,$65.27,0.56
2012-03-31,39.2,$65.11,0.6
2011-12-31,32.4,$65.18,0.5
2011-09-30,32.57,$63.11,0.52
2011-06-30,38.35,$62.71,0.61
2011-03-31,39.45,$62.18,0.63
2010-12-31,41.9,$60.02,0.7
2010-09-30,33.8,$59.59,0.57
2010-06-30,36.38,$59.11,0.62
2010-03-31,40.69,$58.50,0.7
2009-12-31,43.08,$58.04,0.74
2009-09-30,39.38,$57.62,0.68
2009-06-30,39.59,$57.20,0.69
2009-03-31,31.24,$56.71,0.55
2008-12-31,26.22,$56.27,0.47
2008-09-30,46.57,$56.73,0.82
2008-06-30,47.24,$48.90,0.97
2008-03-31,57.66,$48.37,1.19
2007-12-31,84.13,$46.19,1.82
2007-09-30,71.95,$45.56,1.58
2007-06-30,65.35,$9.97,6.55
2007-03-31,65.02,$9.33,6.97
2006-12-31,62.15,$8.72,7.13
2006-09-30,58.24,$8.17,7.13
2006-06-30,59.73,$7.57,7.89
2006-03-31,54.34,$6.96,7.8
