CME Group ROA - Return on Assets Historical Data,CME Group ROA - Return on Assets Historical Data,CME Group ROA - Return on Assets Historical Data,CME Group ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$2.11B,$124.66B,1.67%
2020-09-30,$2.15B,$125.76B,1.89%
2020-06-30,$2.38B,$117.22B,2.32%
2020-03-31,$2.39B,$137.93B,2.63%
2019-12-31,$2.12B,$75.22B,2.86%
2019-09-30,$2.03B,$79.42B,2.72%
2019-06-30,$1.81B,$70.35B,2.50%
2019-03-31,$1.86B,$71.62B,2.58%
2018-12-31,$1.96B,$77.48B,2.73%
2018-09-30,$4.52B,$70.36B,6.33%
2018-06-30,$4.41B,$69.20B,6.02%
2018-03-31,$4.26B,$69.92B,5.64%
2017-12-31,$4.06B,$75.79B,5.28%
2017-09-30,$1.50B,$78.32B,1.99%
2017-06-30,$1.66B,$78.54B,2.32%
2017-03-31,$1.57B,$75.48B,2.27%
2016-12-31,$1.53B,$69.37B,2.28%
2016-09-30,$1.45B,$63.25B,2.18%
2016-06-30,$1.34B,$67.63B,1.88%
2016-03-31,$1.29B,$68.77B,1.77%
2015-12-31,$1.25B,$67.36B,1.67%
2015-09-30,$1.26B,$80.95B,1.66%
2015-06-30,$1.19B,$73.66B,1.66%
2015-03-31,$1.19B,$77.13B,1.80%
2014-12-31,$1.13B,$72.24B,1.87%
2014-09-30,$1.01B,$63.97B,1.82%
2014-06-30,$0.96B,$51.61B,1.85%
2014-03-31,$1.01B,$53.17B,1.98%
2013-12-31,$0.98B,$54.28B,2.03%
2013-09-30,$0.95B,$48.98B,2.15%
2013-06-30,$0.93B,$46.88B,2.22%
2013-03-31,$0.87B,$42.42B,2.18%
2012-12-31,$0.90B,$38.86B,2.30%
2012-09-30,$1.48B,$39.86B,3.74%
2012-06-30,$1.57B,$37.95B,4.01%
2012-03-31,$1.62B,$39.29B,4.20%
2011-12-31,$1.81B,$40.76B,4.84%
2011-09-30,$1.26B,$38.89B,3.50%
2011-06-30,$1.19B,$35.59B,3.43%
2011-03-31,$1.17B,$34.71B,3.39%
2010-12-31,$0.95B,$35.05B,2.75%
2010-09-30,$0.96B,$33.69B,2.76%
2010-06-30,$0.92B,$34.26B,2.59%
2010-03-31,$0.87B,$35.20B,2.38%
2009-12-31,$0.83B,$35.65B,2.19%
2009-09-30,$0.69B,$36.52B,1.68%
2009-06-30,$0.65B,$38.53B,1.57%
2009-03-31,$0.63B,$39.92B,1.73%
2008-12-31,$0.72B,$48.16B,2.29%
2008-09-30,$0.86B,$39.26B,3.51%
2008-06-30,$0.89B,$18.56B,4.57%
2008-03-31,$0.81B,$19.24B,5.04%
2007-12-31,$0.66B,$20.31B,5.26%
2007-09-30,$0.56B,$19.65B,6.57%
2007-06-30,$0.46B,$5.30B,10.29%
2007-03-31,$0.45B,$4.89B,11.08%
2006-12-31,$0.41B,$4.31B,10.43%
2006-09-30,$0.38B,$3.50B,9.96%
2006-06-30,$0.35B,$3.45B,9.59%
2006-03-31,$0.33B,$4.39B,8.87%
2005-12-31,$0.31B,$3.97B,9.00%
