Citizens Financial ROA - Return on Assets Historical Data,Citizens Financial ROA - Return on Assets Historical Data,Citizens Financial ROA - Return on Assets Historical Data,Citizens Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$0.95B,$183.35B,0.53%
2020-09-30,$0.95B,$179.23B,0.54%
2020-06-30,$1.10B,$179.87B,0.64%
2020-03-31,$1.31B,$176.72B,0.78%
2019-12-31,$1.72B,$165.73B,1.05%
2019-09-30,$1.74B,$164.36B,1.07%
2019-06-30,$1.75B,$162.75B,1.09%
2019-03-31,$1.74B,$161.34B,1.09%
2018-12-31,$1.69B,$160.52B,1.08%
2018-09-30,$1.91B,$158.60B,1.23%
2018-06-30,$1.81B,$155.43B,1.18%
2018-03-31,$1.71B,$153.45B,1.12%
2017-12-31,$1.64B,$152.34B,1.08%
2017-09-30,$1.25B,$151.36B,0.83%
2017-06-30,$1.20B,$151.41B,0.80%
2017-03-31,$1.13B,$150.29B,0.76%
2016-12-31,$1.03B,$149.52B,0.71%
2016-09-30,$0.97B,$147.02B,0.68%
2016-06-30,$0.89B,$145.18B,0.64%
2016-03-31,$0.84B,$140.08B,0.61%
2015-12-31,$0.83B,$138.21B,0.61%
2015-09-30,$0.81B,$135.45B,0.60%
2015-06-30,$0.79B,$137.25B,0.58%
2015-03-31,$0.91B,$136.54B,0.68%
2014-12-31,$0.87B,$132.86B,0.88%
2014-06-30,$0.62B,$130.28B,1.91%
