Primerica Debt/Equity Ratio Historical Data,Primerica Debt/Equity Ratio Historical Data,Primerica Debt/Equity Ratio Historical Data,Primerica Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$13.07B,$1.84B,7.12
2020-09-30,$12.58B,$1.72B,7.31
2020-06-30,$12.32B,$1.64B,7.5
2020-03-31,$11.74B,$1.53B,7.67
2019-12-31,$12.04B,$1.65B,7.28
2019-09-30,$11.84B,$1.61B,7.37
2019-06-30,$11.73B,$1.59B,7.4
2019-03-31,$11.56B,$1.52B,7.6
2018-12-31,$11.13B,$1.46B,7.62
2018-09-30,$11.26B,$1.44B,7.8
2018-06-30,$11.10B,$1.40B,7.92
2018-03-31,$11.07B,$1.43B,7.76
2017-12-31,$11.04B,$1.42B,7.78
2017-09-30,$10.93B,$1.28B,8.53
2017-06-30,$10.68B,$1.27B,8.41
2017-03-31,$10.42B,$1.25B,8.36
2016-12-31,$10.22B,$1.22B,8.37
2016-09-30,$10.15B,$1.22B,8.31
2016-06-30,$10.00B,$1.21B,8.28
2016-03-31,$9.84B,$1.17B,8.39
2015-12-31,$9.47B,$1.15B,8.26
2015-09-30,$9.42B,$1.15B,8.21
2015-06-30,$9.58B,$1.20B,8.0
2015-03-31,$9.49B,$1.24B,7.65
2014-12-31,$9.49B,$1.25B,7.62
2014-09-30,$9.45B,$1.29B,7.3
2014-06-30,$9.29B,$1.30B,7.13
2014-03-31,$9.14B,$1.25B,7.29
2013-12-31,$9.11B,$1.22B,7.45
2013-09-30,$9.00B,$1.20B,7.53
2013-06-30,$8.86B,$1.15B,7.73
2013-03-31,$9.13B,$1.31B,6.98
2012-12-31,$9.06B,$1.28B,7.11
2012-09-30,$9.10B,$1.34B,6.8
2012-06-30,$8.67B,$1.28B,6.79
2012-03-31,$8.69B,$1.39B,6.26
2011-12-31,$8.53B,$1.33B,6.43
2011-09-30,$8.44B,$1.57B,5.37
2011-06-30,$8.62B,$1.55B,5.57
2011-03-31,$8.68B,$1.49B,5.83
2010-12-31,$8.45B,$1.43B,5.91
2010-09-30,$8.06B,$1.40B,5.77
2010-06-30,$7.80B,$1.32B,5.92
2010-03-31,$8.23B,$1.75B,4.71
2009-12-31,$8.77B,$4.94B,1.77
2009-09-30,$0.00B,$0.00B,0.0
2009-06-30,$0.00B,$0.00B,0.0
2009-03-31,$0.00B,$0.00B,0.0
2008-12-31,$7.05B,$4.11B,1.71
