American Debt/Equity Ratio Historical Data,American Debt/Equity Ratio Historical Data,American Debt/Equity Ratio Historical Data,American Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$519.28B,$67.20B,7.73
2020-09-30,$512.62B,$64.61B,7.93
2020-06-30,$506.57B,$62.82B,8.06
2020-03-31,$448.63B,$61.84B,7.25
2019-12-31,$457.64B,$67.43B,6.79
2019-09-30,$457.68B,$67.45B,6.79
2019-06-30,$456.16B,$66.11B,6.9
2019-03-31,$450.83B,$62.09B,7.26
2018-12-31,$434.68B,$57.31B,7.59
2018-09-30,$445.68B,$59.18B,7.53
2018-06-30,$435.03B,$61.80B,7.04
2018-03-31,$435.79B,$63.36B,6.88
2017-12-31,$432.59B,$65.71B,6.58
2017-09-30,$430.06B,$73.01B,5.89
2017-06-30,$425.44B,$74.32B,5.72
2017-03-31,$425.50B,$74.67B,5.7
2016-12-31,$421.41B,$76.86B,5.48
2016-09-30,$425.40B,$89.17B,4.77
2016-06-30,$419.81B,$90.54B,4.64
2016-03-31,$413.70B,$89.08B,4.64
2015-12-31,$406.63B,$90.21B,4.51
2015-09-30,$402.37B,$99.62B,4.04
2015-06-30,$405.35B,$104.64B,3.87
2015-03-31,$412.33B,$108.37B,3.81
2014-12-31,$408.31B,$107.27B,3.81
2014-09-30,$418.21B,$108.98B,3.84
2014-06-30,$420.53B,$108.58B,3.87
2014-03-31,$442.72B,$104.39B,4.24
2013-12-31,$440.25B,$101.08B,4.36
2013-09-30,$441.30B,$99.45B,4.44
2013-06-30,$439.28B,$98.16B,4.48
2013-03-31,$448.70B,$100.18B,4.48
2012-12-31,$449.96B,$98.67B,4.56
2012-09-30,$448.31B,$102.41B,4.38
2012-06-30,$449.85B,$105.53B,4.26
2012-03-31,$450.06B,$104.34B,4.31
2011-12-31,$450.66B,$102.39B,4.4
2011-09-30,$457.46B,$86.80B,5.27
2011-06-30,$523.17B,$93.63B,5.59
2011-03-31,$525.40B,$85.85B,6.12
2010-12-31,$570.20B,$113.24B,5.04
2010-09-30,$763.25B,$108.71B,7.02
2010-06-30,$747.81B,$102.72B,7.28
2010-03-31,$761.98B,$101.72B,7.49
2009-12-31,$749.51B,$98.08B,7.64
2009-09-30,$767.81B,$76.54B,10.03
2009-06-30,$768.28B,$62.13B,12.37
2009-03-31,$766.55B,$53.21B,14.41
2008-12-31,$799.61B,$60.81B,13.15
2008-09-30,$951.06B,$71.18B,13.36
2008-06-30,$971.79B,$78.09B,12.45
2008-03-31,$971.38B,$79.70B,12.19
2007-12-31,$952.56B,$95.80B,9.94
2007-09-30,$968.04B,$104.07B,9.3
2007-06-30,$929.54B,$104.33B,8.91
2007-03-31,$896.69B,$103.06B,8.7
2006-12-31,$877.73B,$101.68B,8.63
2006-09-30,$845.39B,$96.15B,8.79
2006-06-30,$812.96B,$87.71B,9.27
2006-03-31,$791.41B,$88.39B,8.95
2005-12-31,$766.73B,$86.32B,8.88
2005-09-30,$754.12B,$89.28B,8.45
2005-06-30,$739.76B,$88.88B,8.32
2005-03-31,$745.57B,$82.68B,9.02
