American Price/Book Ratio Historical Data,American Price/Book Ratio Historical Data,American Price/Book Ratio Historical Data,American Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,46.6,,0.6
2020-12-31,37.61,$78.00,0.48
2020-09-30,27.13,$75.00,0.36
2020-06-30,30.39,$72.92,0.42
2020-03-31,23.41,$71.80,0.33
2019-12-31,49.01,$77.50,0.63
2019-09-30,52.84,$77.53,0.68
2019-06-30,50.26,$75.99,0.66
2019-03-31,40.38,$71.39,0.57
2018-12-31,36.69,$66.13,0.55
2018-09-30,49.13,$66.89,0.73
2018-06-30,48.64,$69.35,0.7
2018-03-31,49.63,$70.58,0.7
2017-12-31,54.02,$73.09,0.74
2017-09-30,55.37,$81.23,0.68
2017-06-30,56.08,$82.27,0.68
2017-03-31,55.72,$79.22,0.7
2016-12-31,58.0,$77.22,0.75
2016-09-30,52.44,$85.50,0.61
2016-06-30,46.48,$83.62,0.56
2016-03-31,47.23,$78.78,0.6
2015-12-31,53.82,$75.56,0.71
2015-09-30,49.13,$79.90,0.61
2015-06-30,53.19,$80.04,0.66
2015-03-31,47.05,$80.45,0.58
2014-12-31,47.98,$77.96,0.62
2014-09-30,46.17,$77.64,0.59
2014-06-30,46.55,$76.01,0.61
2014-03-31,42.55,$72.16,0.59
2013-12-31,43.33,$69.04,0.63
2013-09-30,41.19,$67.54,0.61
2013-06-30,37.79,$66.49,0.57
2013-03-31,32.82,$67.86,0.48
2012-12-31,29.84,$66.83,0.45
2012-09-30,27.72,$69.37,0.4
2012-06-30,27.13,$61.05,0.44
2012-03-31,26.06,$58.18,0.45
2011-12-31,19.61,$53.98,0.36
2011-09-30,18.56,$45.70,0.41
2011-06-30,24.79,$49.33,0.5
2011-03-31,29.71,$47.78,0.62
2010-12-31,40.88,$806.18,0.05
2010-09-30,27.74,$804.46,0.03
2010-06-30,24.43,$760.27,0.03
2010-03-31,24.22,$753.79,0.03
2009-12-31,21.27,$726.11,0.03
2009-09-30,31.29,$568.61,0.06
2009-06-30,16.46,$461.72,0.04
2009-03-31,14.19,$395.49,0.04
2008-12-31,22.28,$452.14,0.05
2008-09-30,47.25,$529.25,0.09
2008-06-30,371.81,$580.84,0.64
2008-03-31,604.35,$638.69,0.95
2007-12-31,811.01,$757.44,1.07
2007-09-30,937.85,$816.21,1.15
2007-06-30,967.89,$808.75,1.2
2007-03-31,926.94,$792.80,1.17
2006-12-31,985.74,$781.77,1.26
2006-09-30,909.32,$739.87,1.23
2006-06-30,808.27,$675.15,1.2
2006-03-31,902.41,$680.59,1.33
