Carlyle Group Price/Book Ratio Historical Data,Carlyle Group Price/Book Ratio Historical Data,Carlyle Group Price/Book Ratio Historical Data,Carlyle Group Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,38.01,,4.59
2020-12-31,31.23,$8.29,3.77
2020-09-30,24.29,$6.88,3.53
2020-06-30,27.22,$6.14,4.43
2020-03-31,20.91,$5.94,3.52
2019-12-31,30.74,$25.20,1.22
2019-09-30,24.22,$28.10,0.86
2019-06-30,21.02,$32.69,0.64
2019-03-31,16.84,$28.48,0.59
2018-12-31,14.18,$26.32,0.54
2018-09-30,19.88,$28.58,0.7
2018-06-30,18.61,$30.58,0.61
2018-03-31,18.42,$30.01,0.61
2017-12-31,19.48,$29.46,0.66
2017-09-30,19.57,$28.34,0.69
2017-06-30,16.05,$23.30,0.69
2017-03-31,12.89,$20.72,0.62
2016-12-31,12.2,$17.18,0.71
2016-09-30,12.05,$18.59,0.65
2016-06-30,12.09,$21.84,0.55
2016-03-31,12.37,$21.30,0.58
2015-12-31,11.23,$75.58,0.15
2015-09-30,11.71,$83.47,0.14
2015-06-30,18.91,$98.64,0.19
2015-03-31,18.0,$118.40,0.15
2014-12-31,17.24,$134.21,0.13
2014-09-30,18.99,$146.90,0.13
2014-06-30,21.06,$149.99,0.14
2014-03-31,21.68,$154.72,0.14
2013-12-31,21.15,$210.27,0.1
2013-09-30,15.2,$194.23,0.08
2013-06-30,15.05,$214.01,0.07
2013-03-31,17.67,$232.60,0.08
2012-12-31,14.81,$247.33,0.06
2012-09-30,14.84,$247.51,0.06
2012-06-30,12.63,$248.38,0.05
