Umpqua Holdings Price/Book Ratio Historical Data,Umpqua Holdings Price/Book Ratio Historical Data,Umpqua Holdings Price/Book Ratio Historical Data,Umpqua Holdings Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,17.88,,23.24
2020-12-31,14.95,$0.77,19.42
2020-09-30,10.33,$11.85,0.87
2020-06-30,10.16,$11.53,0.88
2020-03-31,10.41,$11.39,0.91
2019-12-31,16.58,$1.23,13.51
2019-09-30,15.24,$19.48,0.78
2019-06-30,15.17,$19.18,0.79
2019-03-31,14.9,$18.65,0.8
2018-12-31,14.18,$18.42,0.77
2018-09-30,18.3,$18.18,1.01
2018-06-30,19.68,$18.08,1.09
2018-03-31,18.49,$18.21,1.02
2017-12-31,17.8,$18.03,0.99
2017-09-30,16.55,$18.10,0.91
2017-06-30,15.43,$17.98,0.86
2017-03-31,14.78,$17.84,0.83
2016-12-31,15.51,$17.79,0.87
2016-09-30,12.32,$17.80,0.69
2016-06-30,12.53,$17.70,0.71
2016-03-31,12.71,$17.62,0.72
2015-12-31,12.62,$17.48,0.72
2015-09-30,12.81,$17.42,0.74
2015-06-30,14.0,$17.27,0.81
2015-03-31,13.26,$17.24,0.77
2014-12-31,13.01,$17.16,0.76
2014-09-30,12.49,$17.27,0.72
2014-06-30,13.47,$17.17,0.78
2014-03-31,13.89,$15.44,0.9
2013-12-31,14.15,$15.43,0.92
2013-09-30,11.89,$15.42,0.77
2013-06-30,10.91,$15.33,0.71
2013-03-31,9.5,$15.49,0.61
2012-12-31,8.39,$15.41,0.54
2012-09-30,9.11,$15.32,0.59
2012-06-30,9.22,$15.17,0.61
2012-03-31,9.44,$15.08,0.63
2011-12-31,8.58,$14.91,0.58
2011-09-30,6.05,$14.80,0.41
2011-06-30,7.9,$14.62,0.54
2011-03-31,7.78,$14.41,0.54
2010-12-31,8.24,$14.34,0.57
2010-09-30,7.64,$14.42,0.53
2010-06-30,7.7,$14.44,0.53
2010-03-31,8.86,$17.24,0.51
2009-12-31,8.93,$18.05,0.49
2009-09-30,7.03,$18.51,0.38
2009-06-30,5.12,$22.52,0.23
2009-03-31,5.94,$24.42,0.24
2008-12-31,9.44,$24.72,0.38
2008-09-30,9.57,$20.74,0.46
2008-06-30,7.8,$20.71,0.38
2008-03-31,9.82,$20.93,0.47
2007-12-31,9.59,$20.67,0.46
2007-09-30,12.36,$20.60,0.6
2007-06-30,14.39,$20.48,0.7
2007-03-31,16.26,$20.07,0.81
2006-12-31,17.75,$19.91,0.89
2006-09-30,17.15,$19.67,0.87
2006-06-30,15.29,$19.31,0.79
2006-03-31,16.9,$16.79,1.01
