Synchrony Financial Debt/Equity Ratio Historical Data,Synchrony Financial Debt/Equity Ratio Historical Data,Synchrony Financial Debt/Equity Ratio Historical Data,Synchrony Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$83.25B,$12.70B,6.55
2020-09-30,$83.56B,$12.10B,6.91
2020-06-30,$84.65B,$11.90B,7.11
2020-03-31,$86.07B,$11.97B,7.19
2019-12-31,$89.74B,$15.09B,5.95
2019-09-30,$90.82B,$15.12B,6.01
2019-06-30,$91.65B,$14.73B,6.22
2019-03-31,$90.68B,$14.71B,6.17
2018-12-31,$92.11B,$14.68B,6.28
2018-09-30,$90.55B,$14.00B,6.47
2018-06-30,$84.66B,$14.46B,5.86
2018-03-31,$81.20B,$14.36B,5.66
2017-12-31,$81.57B,$14.23B,5.73
2017-09-30,$78.15B,$14.40B,5.43
2017-06-30,$76.81B,$14.33B,5.36
2017-03-31,$74.69B,$14.36B,5.2
2016-12-31,$76.01B,$14.20B,5.35
2016-09-30,$73.18B,$13.98B,5.23
2016-06-30,$68.67B,$13.72B,5.01
2016-03-31,$68.45B,$13.20B,5.18
2015-12-31,$71.39B,$12.60B,5.66
2015-09-30,$67.28B,$12.16B,5.53
2015-06-30,$64.17B,$11.58B,5.54
2015-03-31,$61.69B,$11.04B,5.59
2014-12-31,$65.23B,$10.48B,6.23
2014-09-30,$63.53B,$9.94B,6.39
2014-06-30,$56.78B,$6.39B,8.88
2014-03-31,$53.20B,$6.04B,8.81
2013-12-31,$53.13B,$5.96B,8.91
2013-09-30,$0.00B,$0.00B,0.0
2013-06-30,$0.00B,$0.00B,0.0
2013-03-31,$0.00B,$0.00B,0.0
2012-12-31,$48.88B,$4.58B,10.67
2011-12-31,$0.00B,$0.00B,0.0
