Synchrony Financial Price/Book Ratio Historical Data,Synchrony Financial Price/Book Ratio Historical Data,Synchrony Financial Price/Book Ratio Historical Data,Synchrony Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,42.8,,1.97
2020-12-31,34.51,$21.75,1.59
2020-09-30,25.79,$20.73,1.24
2020-06-30,21.62,$20.39,1.06
2020-03-31,15.52,$20.52,0.76
2019-12-31,34.5,$24.50,1.41
2019-09-30,32.46,$23.13,1.4
2019-06-30,32.8,$22.03,1.49
2019-03-31,30.18,$21.35,1.41
2018-12-31,22.04,$20.42,1.08
2018-09-30,28.97,$19.47,1.49
2018-06-30,30.9,$19.37,1.6
2018-03-31,30.89,$18.88,1.64
2017-12-31,35.44,$18.47,1.92
2017-09-30,28.37,$18.40,1.54
2017-06-30,27.11,$18.02,1.5
2017-03-31,31.04,$17.71,1.75
2016-12-31,32.7,$17.37,1.88
2016-09-30,25.13,$16.94,1.48
2016-06-30,22.58,$16.45,1.37
2016-03-31,25.6,$15.84,1.62
2015-12-31,27.17,$15.12,1.8
2015-09-30,27.96,$14.58,1.92
2015-06-30,29.42,$13.89,2.12
2015-03-31,27.11,$13.24,2.05
2014-12-31,26.58,$12.57,2.11
2014-09-30,21.93,$11.92,1.84
