Synchrony Financial ROA - Return on Assets Historical Data,Synchrony Financial ROA - Return on Assets Historical Data,Synchrony Financial ROA - Return on Assets Historical Data,Synchrony Financial ROA - Return on Assets Historical Data
Date,TTM Net Income,Total Assets,Return on Assets
2020-12-31,$1.34B,$95.95B,1.39%
2020-09-30,$1.35B,$95.66B,1.36%
2020-06-30,$2.10B,$96.54B,2.07%
2020-03-31,$2.92B,$98.04B,2.81%
2019-12-31,$3.75B,$104.83B,3.55%
2019-09-30,$3.80B,$105.94B,3.58%
2019-06-30,$3.41B,$106.39B,3.23%
2019-03-31,$3.26B,$105.38B,3.13%
2018-12-31,$2.79B,$106.79B,2.75%
2018-09-30,$2.39B,$104.55B,2.42%
2018-06-30,$2.28B,$99.12B,2.38%
2018-03-31,$2.08B,$95.56B,2.21%
2017-12-31,$1.94B,$95.81B,2.10%
2017-09-30,$2.13B,$92.55B,2.34%
2017-06-30,$2.18B,$91.14B,2.43%
2017-03-31,$2.17B,$89.05B,2.49%
2016-12-31,$2.25B,$90.21B,2.64%
2016-09-30,$2.22B,$87.16B,2.65%
2016-06-30,$2.19B,$82.38B,2.68%
2016-03-31,$2.24B,$81.66B,2.80%
2015-12-31,$2.21B,$83.99B,2.84%
2015-09-30,$2.20B,$79.44B,2.90%
2015-06-30,$2.17B,$75.75B,2.92%
2015-03-31,$2.10B,$72.72B,2.95%
2014-12-31,$2.11B,$75.71B,3.11%
2014-09-30,$2.02B,$73.47B,3.17%
2014-06-30,$2.11B,$63.18B,4.66%
2014-03-31,$2.18B,$59.25B,7.36%
2013-12-31,$1.98B,$59.09B,13.40%
