Charles Schwab Debt/Equity Ratio Historical Data,Charles Schwab Debt/Equity Ratio Historical Data,Charles Schwab Debt/Equity Ratio Historical Data,Charles Schwab Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$492.95B,$56.06B,8.79
2020-09-30,$388.02B,$31.33B,12.39
2020-06-30,$369.67B,$30.82B,12.0
2020-03-31,$344.51B,$26.27B,13.11
2019-12-31,$272.26B,$21.75B,12.52
2019-09-30,$257.63B,$21.35B,12.07
2019-06-30,$255.00B,$21.32B,11.96
2019-03-31,$261.19B,$21.63B,12.08
2018-12-31,$275.81B,$20.67B,13.34
2018-09-30,$251.27B,$20.83B,12.06
2018-06-30,$241.79B,$20.10B,12.03
2018-03-31,$228.99B,$19.33B,11.85
2017-12-31,$224.75B,$18.53B,12.13
2017-09-30,$212.69B,$18.03B,11.8
2017-06-30,$203.11B,$17.49B,11.61
2017-03-31,$210.08B,$16.98B,12.37
2016-12-31,$206.96B,$16.42B,12.6
2016-09-30,$193.87B,$15.47B,12.53
2016-06-30,$183.06B,$14.99B,12.21
2016-03-31,$176.49B,$14.51B,12.16
2015-12-31,$170.30B,$13.40B,12.71
2015-09-30,$157.21B,$13.20B,11.91
2015-06-30,$151.20B,$12.42B,12.17
2015-03-31,$148.01B,$12.16B,12.17
2014-12-31,$142.84B,$11.80B,12.1
2014-09-30,$135.97B,$11.47B,11.85
2014-06-30,$132.23B,$11.17B,11.84
2014-03-31,$133.25B,$10.82B,12.32
2013-12-31,$133.26B,$10.38B,12.84
2013-09-30,$130.16B,$10.05B,12.95
2013-06-30,$126.19B,$9.72B,12.98
2013-03-31,$123.55B,$9.78B,12.64
2012-12-31,$124.05B,$9.59B,12.94
2012-09-30,$108.19B,$9.47B,11.43
2012-06-30,$102.71B,$9.11B,11.27
2012-03-31,$103.15B,$8.34B,12.37
2011-12-31,$100.84B,$7.71B,13.07
2011-09-30,$95.25B,$7.66B,12.44
2011-06-30,$90.84B,$6.73B,13.49
2011-03-31,$88.40B,$6.49B,13.63
2010-12-31,$86.34B,$6.23B,13.87
2010-09-30,$81.26B,$6.04B,13.47
2010-06-30,$76.42B,$5.88B,13.0
2010-03-31,$72.67B,$5.67B,12.81
2009-12-31,$70.36B,$5.07B,13.87
2009-09-30,$63.08B,$4.90B,12.87
2009-06-30,$57.65B,$4.61B,12.49
2009-03-31,$50.60B,$4.30B,11.76
2008-12-31,$47.61B,$4.06B,11.73
2008-09-30,$48.70B,$4.06B,11.99
2008-06-30,$44.47B,$3.89B,11.43
2008-03-31,$40.99B,$3.56B,11.51
2007-12-31,$38.55B,$3.73B,10.33
2007-09-30,$35.92B,$3.39B,10.58
2007-06-30,$43.93B,$5.07B,8.66
2007-03-31,$42.34B,$4.94B,8.58
2006-12-31,$43.98B,$5.01B,8.78
2006-09-30,$42.51B,$4.63B,9.17
2006-06-30,$42.26B,$4.60B,9.18
2006-03-31,$42.99B,$4.63B,9.28
2005-12-31,$42.90B,$4.45B,9.64
2005-09-30,$41.02B,$4.35B,9.43
2005-06-30,$42.16B,$4.32B,9.76
2005-03-31,$42.13B,$4.28B,9.86
