Kemper Debt/Equity Ratio Historical Data,Kemper Debt/Equity Ratio Historical Data,Kemper Debt/Equity Ratio Historical Data,Kemper Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$9.78B,$4.56B,2.14
2020-09-30,$9.74B,$4.35B,2.24
2020-06-30,$9.30B,$4.19B,2.22
2020-03-31,$9.17B,$3.76B,2.44
2019-12-31,$9.02B,$3.97B,2.27
2019-09-30,$8.93B,$3.89B,2.29
2019-06-30,$8.93B,$3.68B,2.43
2019-03-31,$8.86B,$3.32B,2.67
2018-12-31,$8.50B,$3.05B,2.79
2018-09-30,$8.71B,$3.06B,2.84
2018-06-30,$6.80B,$2.05B,3.32
2018-03-31,$6.31B,$2.06B,3.06
2017-12-31,$6.26B,$2.12B,2.96
2017-09-30,$6.22B,$2.08B,2.99
2017-06-30,$6.18B,$2.03B,3.04
2017-03-31,$6.32B,$1.98B,3.19
2016-12-31,$6.24B,$1.98B,3.16
2016-09-30,$6.32B,$2.07B,3.05
2016-06-30,$6.20B,$2.11B,2.95
2016-03-31,$6.13B,$2.04B,3.0
2015-12-31,$6.04B,$1.99B,3.03
2015-09-30,$6.05B,$2.03B,2.99
2015-06-30,$6.04B,$2.01B,3.0
2015-03-31,$5.78B,$2.11B,2.74
2014-12-31,$5.74B,$2.09B,2.75
2014-09-30,$5.80B,$2.11B,2.76
2014-06-30,$5.83B,$2.14B,2.73
2014-03-31,$5.80B,$2.15B,2.7
2013-12-31,$5.61B,$2.05B,2.73
2013-09-30,$5.74B,$2.01B,2.86
2013-06-30,$5.82B,$2.01B,2.9
2013-03-31,$5.88B,$2.17B,2.71
2012-12-31,$5.85B,$2.16B,2.71
2012-09-30,$5.92B,$2.21B,2.68
2012-06-30,$5.86B,$2.15B,2.73
2012-03-31,$5.84B,$2.13B,2.74
2011-12-31,$5.82B,$2.12B,2.75
2011-09-30,$5.98B,$2.22B,2.69
2011-06-30,$6.05B,$2.14B,2.83
2011-03-31,$6.11B,$2.12B,2.89
2010-12-31,$6.25B,$2.11B,2.96
2010-09-30,$6.34B,$2.20B,2.88
2010-06-30,$6.44B,$2.07B,3.11
2010-03-31,$6.53B,$1.98B,3.3
2009-12-31,$6.66B,$1.92B,3.47
2009-09-30,$6.87B,$1.89B,3.63
2009-06-30,$7.03B,$1.69B,4.15
2009-03-31,$7.32B,$1.57B,4.68
2008-12-31,$7.17B,$1.65B,4.35
2008-09-30,$7.41B,$1.80B,4.12
2008-06-30,$7.39B,$2.05B,3.61
2008-03-31,$7.09B,$2.19B,3.24
2007-12-31,$7.10B,$2.29B,3.1
2007-09-30,$7.26B,$2.32B,3.12
2007-06-30,$7.46B,$2.30B,3.25
2007-03-31,$7.09B,$2.32B,3.06
2006-12-31,$7.04B,$2.28B,3.08
2006-09-30,$7.12B,$2.25B,3.16
2006-06-30,$7.03B,$2.14B,3.29
2006-03-31,$7.07B,$2.19B,3.23
2005-12-31,$7.04B,$2.16B,3.26
2005-09-30,$7.16B,$2.10B,3.41
2005-06-30,$6.92B,$2.19B,3.16
2005-03-31,$6.86B,$2.05B,3.35
