Kemper Price/Book Ratio Historical Data,Kemper Price/Book Ratio Historical Data,Kemper Price/Book Ratio Historical Data,Kemper Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,80.77,,1.16
2020-12-31,76.52,$69.74,1.1
2020-09-30,66.27,$66.47,1.0
2020-06-30,71.65,$64.15,1.12
2020-03-31,73.1,$57.54,1.27
2019-12-31,75.9,$59.59,1.27
2019-09-30,76.05,$58.43,1.3
2019-06-30,83.91,$55.34,1.52
2019-03-31,73.83,$51.13,1.44
2018-12-31,64.17,$47.10,1.36
2018-09-30,77.52,$47.33,1.64
2018-06-30,72.67,$39.68,1.83
2018-03-31,54.58,$40.05,1.36
2017-12-31,65.7,$41.11,1.6
2017-09-30,50.36,$40.48,1.24
2017-06-30,36.5,$39.64,0.92
2017-03-31,37.49,$38.67,0.97
2016-12-31,41.4,$38.52,1.07
2016-09-30,36.51,$40.51,0.9
2016-06-30,28.58,$41.17,0.69
2016-03-31,27.07,$39.92,0.68
2015-12-31,33.76,$38.82,0.87
2015-09-30,31.87,$39.45,0.81
2015-06-30,34.52,$38.85,0.89
2015-03-31,34.65,$40.71,0.85
2014-12-31,31.91,$39.89,0.8
2014-09-30,29.98,$39.96,0.75
2014-06-30,32.15,$39.98,0.8
2014-03-31,33.92,$38.71,0.88
2013-12-31,35.18,$36.86,0.95
2013-09-30,28.73,$35.86,0.8
2013-06-30,29.09,$35.14,0.83
2013-03-31,27.5,$37.25,0.74
2012-12-31,24.69,$36.98,0.67
2012-09-30,25.48,$37.78,0.67
2012-06-30,25.32,$36.42,0.7
2012-03-31,24.74,$35.69,0.69
2011-12-31,23.67,$35.13,0.67
2011-09-30,19.24,$36.72,0.52
2011-06-30,23.59,$35.33,0.67
2011-03-31,24.35,$35.01,0.7
2010-12-31,19.19,$34.61,0.55
2010-09-30,18.9,$35.81,0.53
2010-06-30,19.66,$33.40,0.59
2010-03-31,21.37,$31.66,0.67
2009-12-31,16.64,$30.75,0.54
2009-09-30,14.57,$30.36,0.48
2009-06-30,8.88,$27.14,0.33
2009-03-31,10.19,$25.06,0.41
2008-12-31,11.24,$26.46,0.42
2008-09-30,17.12,$28.86,0.59
2008-06-30,18.55,$32.58,0.57
2008-03-31,23.48,$34.91,0.67
2007-12-31,31.47,$35.65,0.88
2007-09-30,32.2,$35.92,0.9
2007-06-30,31.6,$35.02,0.9
2007-03-31,29.95,$34.96,0.86
2006-12-31,31.59,$34.09,0.93
2006-09-30,27.59,$33.57,0.82
2006-06-30,26.94,$31.40,0.86
2006-03-31,28.48,$31.90,0.89
