Raymond James Financial Price/Book Ratio Historical Data,Raymond James Financial Price/Book Ratio Historical Data,Raymond James Financial Price/Book Ratio Historical Data,Raymond James Financial Price/Book Ratio Historical Data
Date,Stock Price,Book Value per Share,Price to Book Ratio
2021-04-09,127.03,,2.35
2020-12-31,94.97,$54.14,1.75
2020-09-30,72.23,$52.55,1.37
2020-06-30,67.98,$51.19,1.33
2020-03-31,62.09,$49.96,1.24
2019-12-31,87.37,$49.68,1.76
2019-09-30,80.21,$48.19,1.66
2019-06-30,81.9,$47.00,1.74
2019-03-31,77.58,$45.82,1.69
2018-12-31,71.16,$44.27,1.61
2018-09-30,88.03,$44.30,1.99
2018-06-30,85.17,$42.88,1.99
2018-03-31,84.94,$41.51,2.05
2017-12-31,84.36,$39.98,2.11
2017-09-30,79.67,$39.51,2.02
2017-06-30,75.59,$38.24,1.98
2017-03-31,71.66,$37.12,1.93
2016-12-31,64.91,$36.41,1.78
2016-09-30,54.37,$35.77,1.52
2016-06-30,45.89,$35.34,1.3
2016-03-31,44.13,$34.57,1.28
2015-12-31,53.51,$34.24,1.56
2015-09-30,45.66,$33.53,1.36
2015-06-30,54.61,$33.03,1.65
2015-03-31,51.88,$32.58,1.59
2014-12-31,52.19,$32.06,1.63
2014-09-30,48.65,$31.40,1.55
2014-06-30,45.93,$30.63,1.5
2014-03-31,50.48,$29.93,1.69
2013-12-31,46.97,$29.43,1.6
2013-09-30,37.38,$28.65,1.3
2013-06-30,38.43,$27.83,1.38
2013-03-31,41.09,$28.13,1.46
2012-12-31,34.24,$27.50,1.24
2012-09-30,32.45,$26.72,1.21
2012-06-30,30.21,$26.06,1.16
2012-03-31,32.1,$24.88,1.29
2011-12-31,27.11,$23.55,1.15
2011-09-30,22.64,$23.04,0.98
2011-06-30,27.9,$22.64,1.23
2011-03-31,33.05,$22.33,1.48
2010-12-31,28.17,$21.69,1.3
2010-09-30,21.73,$20.82,1.04
2010-06-30,21.09,$19.85,1.06
2010-03-31,22.74,$19.33,1.18
2009-12-31,20.14,$18.72,1.08
2009-09-30,19.63,$18.15,1.08
2009-06-30,14.45,$15.99,0.9
2009-03-31,16.43,$15.51,1.06
2008-12-31,14.2,$15.40,0.92
2008-09-30,27.17,$15.67,1.73
2008-06-30,21.65,$15.44,1.4
2008-03-31,18.78,$14.86,1.26
2007-12-31,26.46,$14.93,1.77
2007-09-30,26.62,$14.66,1.82
2007-06-30,24.96,$14.06,1.78
2007-03-31,23.96,$13.45,1.78
2006-12-31,24.32,$12.95,1.88
2006-09-30,23.39,$12.58,1.86
2006-06-30,24.15,$12.44,1.94
2006-03-31,23.52,$12.15,1.94
