Raymond James Financial Debt/Equity Ratio Historical Data,Raymond James Financial Debt/Equity Ratio Historical Data,Raymond James Financial Debt/Equity Ratio Historical Data,Raymond James Financial Debt/Equity Ratio Historical Data
Date,Long Term Debt,Shareholder's Equity,Debt to Equity Ratio
2020-12-31,$46.22B,$7.44B,6.21
2020-09-30,$40.31B,$7.18B,5.62
2020-06-30,$37.67B,$7.02B,5.37
2020-03-31,$42.98B,$6.83B,6.29
2019-12-31,$33.25B,$6.90B,4.82
2019-09-30,$32.19B,$6.64B,4.85
2019-06-30,$32.11B,$6.56B,4.89
2019-03-31,$31.74B,$6.44B,4.93
2018-12-31,$32.32B,$6.23B,5.19
2018-09-30,$30.96B,$6.45B,4.8
2018-06-30,$30.11B,$6.25B,4.82
2018-03-31,$29.99B,$6.04B,4.96
2017-12-31,$30.28B,$5.80B,5.22
2017-09-30,$29.19B,$5.69B,5.13
2017-06-30,$27.93B,$5.50B,5.08
2017-03-31,$27.60B,$5.33B,5.18
2016-12-31,$26.47B,$5.21B,5.09
2016-09-30,$26.42B,$5.06B,5.22
2016-06-30,$23.85B,$4.99B,4.78
2016-03-31,$22.88B,$4.88B,4.69
2015-12-31,$21.99B,$4.92B,4.47
2015-09-30,$21.68B,$4.79B,4.53
2015-06-30,$20.06B,$4.75B,4.23
2015-03-31,$20.32B,$4.65B,4.37
2014-12-31,$19.70B,$4.56B,4.32
2014-09-30,$18.89B,$4.43B,4.26
2014-06-30,$18.76B,$4.31B,4.35
2014-03-31,$18.66B,$4.21B,4.43
2013-12-31,$17.80B,$4.13B,4.31
2013-09-30,$19.19B,$4.00B,4.8
2013-06-30,$18.34B,$3.88B,4.73
2013-03-31,$18.82B,$3.91B,4.81
2012-12-31,$18.47B,$3.81B,4.85
2012-09-30,$17.48B,$3.68B,4.75
2012-06-30,$17.59B,$3.58B,4.91
2012-03-31,$15.86B,$3.42B,4.64
2011-12-31,$14.93B,$2.96B,5.04
2011-09-30,$15.10B,$2.91B,5.18
2011-06-30,$13.25B,$2.87B,4.63
2011-03-31,$12.47B,$2.82B,4.42
2010-12-31,$12.13B,$2.72B,4.46
2010-09-30,$15.29B,$2.60B,5.89
2010-06-30,$12.41B,$2.47B,5.03
2010-03-31,$12.88B,$2.40B,5.38
2009-12-31,$12.38B,$2.32B,5.34
2009-09-30,$15.99B,$2.23B,7.16
2009-06-30,$15.87B,$1.96B,8.09
2009-03-31,$16.22B,$1.90B,8.55
2008-12-31,$16.42B,$1.87B,8.8
2008-09-30,$18.83B,$1.88B,9.99
2008-06-30,$16.43B,$1.85B,8.9
2008-03-31,$16.31B,$1.77B,9.2
2007-12-31,$15.29B,$1.81B,8.47
2007-09-30,$14.50B,$1.76B,8.25
2007-06-30,$13.99B,$1.68B,8.33
2007-03-31,$12.56B,$1.60B,7.84
2006-12-31,$10.75B,$1.53B,7.03
2006-09-30,$10.05B,$1.46B,6.87
2006-06-30,$9.35B,$1.44B,6.48
2006-03-31,$8.69B,$1.38B,6.3
2005-12-31,$7.82B,$1.32B,5.94
2005-09-30,$7.13B,$1.24B,5.74
2005-06-30,$6.66B,$1.19B,5.59
2005-03-31,$6.73B,$1.16B,5.8
